schedule_review_id,tour_slug,tour_name,review_status,approve_for_seed,start_date,end_date,max_people,booked_people,price_adult,price_child,price_infant,status,booking_availability,departure_code,departure_place,start_time,start_time_source,booking_deadline,schedule_pattern,review_flags,fix_notes,source_url
dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local-SCH-01,dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",approved,True,2026-06-04,2026-06-04,30,0,1650000.0,0.0,0.0,available,open,DDGB-20260604-01,Da Nang / operator pickup point,08:00,default,2026-06-03T18:00:00+00:00,daily,start_time_inferred; missing_itinerary; missing_inclusions,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dacotours.com/ba-na-hills-from-da-nang/
dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local-SCH-02,dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",approved,True,2026-06-05,2026-06-05,30,0,1650000.0,0.0,0.0,available,open,DDGB-20260605-02,Da Nang / operator pickup point,08:00,default,2026-06-04T18:00:00+00:00,daily,start_time_inferred; missing_itinerary; missing_inclusions,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dacotours.com/ba-na-hills-from-da-nang/
dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local-SCH-03,dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",approved,True,2026-06-06,2026-06-06,30,0,1650000.0,0.0,0.0,available,open,DDGB-20260606-03,Da Nang / operator pickup point,08:00,default,2026-06-05T18:00:00+00:00,daily,start_time_inferred; missing_itinerary; missing_inclusions,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dacotours.com/ba-na-hills-from-da-nang/
dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local-SCH-04,dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",approved,True,2026-06-07,2026-06-07,30,0,1650000.0,0.0,0.0,available,open,DDGB-20260607-04,Da Nang / operator pickup point,08:00,default,2026-06-06T18:00:00+00:00,daily,start_time_inferred; missing_itinerary; missing_inclusions,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dacotours.com/ba-na-hills-from-da-nang/
dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours-SCH-01,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,2026-06-04,2026-06-04,30,0,1190000.0,0.0,0.0,available,open,DBNH-20260604-01,Departure We will pick you up at the rendezvous from 7,08:00,default,2026-06-03T18:00:00+00:00,daily,start_time_inferred,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours-SCH-02,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,2026-06-05,2026-06-05,30,0,1190000.0,0.0,0.0,available,open,DBNH-20260605-02,Departure We will pick you up at the rendezvous from 7,08:00,default,2026-06-04T18:00:00+00:00,daily,start_time_inferred,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours-SCH-03,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,2026-06-06,2026-06-06,30,0,1190000.0,0.0,0.0,available,open,DBNH-20260606-03,Departure We will pick you up at the rendezvous from 7,08:00,default,2026-06-05T18:00:00+00:00,daily,start_time_inferred,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours-SCH-04,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,2026-06-07,2026-06-07,30,0,1190000.0,0.0,0.0,available,open,DBNH-20260607-04,Departure We will pick you up at the rendezvous from 7,08:00,default,2026-06-06T18:00:00+00:00,daily,start_time_inferred,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours-SCH-01,dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,approved,True,2026-06-04,2026-06-04,30,0,1100000.0,0.0,0.0,available,open,DBMN-20260604-01,"Departure We will pick you up at the rendezvous, then we depart for Bach Ma National Park",08:00,default,2026-06-03T18:00:00+00:00,daily,start_time_inferred; tour_has_inferred_fields,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/bach-ma-national-park-tour/
dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours-SCH-02,dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,approved,True,2026-06-05,2026-06-05,30,0,1100000.0,0.0,0.0,available,open,DBMN-20260605-02,"Departure We will pick you up at the rendezvous, then we depart for Bach Ma National Park",08:00,default,2026-06-04T18:00:00+00:00,daily,start_time_inferred; tour_has_inferred_fields,Auto-approved for staging schedule seed; schedule remains demo/review data.,https://dananglocaltours.com/tour/bach-ma-national-park-tour/
