publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,missing_meeting_point,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,dacotours,https://dacotours.com/ba-na-hills-from-da-nang/,1650000.0,$ 66,8 Hours,0,0,0,8,https://dacotours.com/wp-content/uploads/2025/08/Discovery.png
needs_recrawl,suspicious_duration,,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,dananglocaltours,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/,1190000.0,1.190.000 VND,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/basket-boat-hoi-tour-100x100.jpg
needs_recrawl,inferred_core_field; suspicious_duration,,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,dananglocaltours,https://dananglocaltours.com/tour/bach-ma-national-park-tour/,1100000.0,estimated_from_context:1100000 VND,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2020/02/son-tra-peninsula-100x100.jpg
needs_recrawl,suspicious_duration,,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,dananglocaltours,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/,1075000.0,43USD,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/marble-mountain-hoi-an-tour-100x100.jpg
needs_recrawl,suspicious_duration,,Cham Island Snorkeling Tour From Da Nang Good Price #1,dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,dananglocaltours,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/,1125000.0,45 USD,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/hue-tour-from-da-nang-100x100.jpg
needs_recrawl,inferred_core_field,,Hoa Phu Thanh waterfall sliding daily tour - Da Nang Local Tours,dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,dananglocaltours,https://dananglocaltours.com/tour/hoa-phu-thanh-waterfall-sliding-daily-tour/,1150000.0,estimated_from_context:1150000 VND,1 day,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour-100x100.jpg
ready_for_manual_publish,,,Hue Tour From Da Nang Good Price #1 - Da Nang Local Tours,dananglocaltours-basket-boat-hue-tour-from-da-nang-good-price-1-da-nang-local-tours,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/hue-tour-from-da-nang/,1475000.0,59 USD,1 Day,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/my-son-sanctuary-tour-100x100.jpg
needs_recrawl,suspicious_duration,missing_meeting_point,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/,975000.0,39 USD,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/nui-than-tai-spring-park-tour-100x100.jpg
needs_recrawl,suspicious_duration,,My Son Sanctuary Tour From Da Nang - Da Nang Local Tours,dananglocaltours-basket-boat-my-son-sanctuary-tour-from-da-nang-da-nang-local-tours,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/my-son-sanctuary-tour/,1025000.0,41 USD,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/ba-na-hills-tour-from-da-nang-100x100.jpg
needs_recrawl,incomplete_itinerary,,Nui Than Tai Hot Spring Park Tour From Da Nang Good Price #1,dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/nui-than-tai-hot-spring-park-tour/,1225000.0,49USD,1 day,0,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/hoa-phu-thanh-100x100.jpg
needs_recrawl,inferred_core_field; suspicious_duration,,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/,1175000.0,estimated_from_context:1175000 VND,2 hours,8,8,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour-100x100.jpg
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,missing_meeting_point,French Village Ba Na Hills - Da Nang Tours,danangtourscity-french-village-ba-na-hills-da-nang-tours,danangtourscity,https://danangtourscity.com/french-village-ba-na-hills/,1090000.0,"1,090,000 VND",2 hours,0,0,0,7,https://danangtourscity.com/wp-content/uploads/2023/06/da-nang-tours.png
ready_for_manual_publish,,,Am Phu Cave Tour with Marble Mountain & Lady Buddha - HoiAn Day Trip Company,hoiandaytrip-am-phu-cave-tour-with-marble-mountain-lady-buddha-hoian-day-trip-company,hoiandaytrip,https://hoiandaytrip.com/am-phu-cave-tour/,1125000.0,from $45,4 hours,8,8,8,8,https://hoiandaytrip.com/wp-content/uploads/2024/10/Asset-1@4x.png
ready_for_manual_publish,,,Ba Na Hills Afternoon Tour with Golden Hands Bridge - HoiAn Day Trip Company,hoiandaytrip-ba-na-hills-afternoon-tour-with-golden-hands-bridge-hoian-day-trip-company,hoiandaytrip,https://hoiandaytrip.com/ba-na-hills-afternoon-tour/,2125000.0,from $85,5 hours,8,8,8,8,https://hoiandaytrip.com/wp-content/uploads/2024/10/Asset-1@4x.png
ready_for_manual_publish,,,Ba Na Hills Early Morning Tour to Beat the Crowds - HoiAn Day Trip Company,hoiandaytrip-bana-ba-na-hills-early-morning-tour-to-beat-the-crowds-hoian-day-trip-company,hoiandaytrip_bana,https://hoiandaytrip.com/ba-na-hills-early-morning-tour/,2125000.0,from $85,5 hours,8,8,8,8,https://hoiandaytrip.com/wp-content/uploads/2024/10/Asset-1@4x.png
needs_recrawl,incomplete_exclusions,,"Ba Na Hills Night Tour with Golden Bridge, Dinner & Cabaret Show - HoiAn Day Trip Company",hoiandaytrip-bana-ba-na-hills-night-tour-with-golden-bridge-dinner-cabaret-show-hoian-day-trip-company,hoiandaytrip_bana,https://hoiandaytrip.com/ba-na-hills-night-tour/,2200000.0,from $88,6 hours,8,8,0,8,https://hoiandaytrip.com/wp-content/uploads/2024/10/Asset-1@4x.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,From Danang: My Son Holyland & Rice Paper Making Morning Tour,venus-cham-island-from-danang-my-son-holyland-rice-paper-making-morning-tour-venustravel,venus_cham_island,https://venusvietnamtravel.com/my-son-holyland-rice-paper-making-morning-tour/,775250.0,From $31.01,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Hoi An City Tour – Boat Ride – Release Flower Lantern,venus-cham-island-hoi-an-city-tour-boat-ride-release-flower-lantern-venustravel,venus_cham_island,https://venusvietnamtravel.com/hoi-an-boat-ride/,641250.0,From $25.65,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,venus_cham_island,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/,603000.0,From $24.12,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Marble Mountains – Monkey Mountain – Am Phu Cave Sunset Tour,venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-sunset-tour-venustravel,venus_cham_island,https://venusvietnamtravel.com/marble-mountains-am-phu-cave-monkey-mountains-sunset-tour/,545500.0,From $21.82,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,3 Traditional Handicraft Villages In 1 Tour,venusvietnamtravel-3-traditional-handicraft-villages-in-1-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/3-traditional-handicraft-villages-in-1-tour/,976250.0,From $39.05,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,1540750.0,From $61.63,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,inferred_core_field; incomplete_itinerary,,Cam Thanh Coconut Jungle Muslim Tour,venusvietnamtravel-cam-thanh-coconut-jungle-muslim-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-muslim-tour/,1225000.0,estimated_from_context:1225000 VND,2 Days,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Cam Thanh Cooking Class & My Son Holy Land Full-Day Tour,venusvietnamtravel-cam-thanh-cooking-class-my-son-holy-land-full-day-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/cam-thanh-cooking-class-my-son-holy-land-full-day-tour/,1215500.0,From $48.62,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Cam Thanh Eco Tour - My Son Holy Land Full-day Tour,venusvietnamtravel-cam-thanh-eco-tour-my-son-holy-land-full-day-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/cam-thanh-coconut-jungle-my-son-sanctuary-full-day-tour/,1215500.0,From $48.62,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary,image_relevance_requires_manual_review,Cham Island Sightseeing & Snorkeling Tour,venusvietnamtravel-cham-island-sightseeing-snorkeling-tour-venustravel,venusvietnamtravel,https://venusvietnamtravel.com/cham-island-sightseeing-and-snorkeling-tour/,765750.0,From $30.63,Half Day,0,8,8,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,,The best quality Daily Group Tour package in Vietnam,vietnamadventure-danang-the-best-quality-daily-group-tour-package-in-vietnam,vietnamadventure_danang,https://vietnamadventuretour.com.vn/daily-group-tour/,475000.0,From $ 19,3 Days,0,0,0,8,https://vietnamadventuretour.com.vn/wp-content/uploads/2025/03/bg-01.png
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,missing_meeting_point,Vietnam Luxury Tour - Experience your trip with 5-star class,vietnamadventure-danang-vietnam-luxury-tour-experience-your-trip-with-5-star-class,vietnamadventure_danang,https://vietnamadventuretour.com.vn/luxury-tour/,600000.0,From $ 24,3 Days,0,0,0,8,https://vietnamadventuretour.com.vn/wp-content/uploads/2025/03/bg-01.png
needs_recrawl,suspicious_duration; incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,,Da Nang Shore Excursions From Tien Sa Port - Deluxe Tours,vmtravel-da-nang-shore-excursions-from-tien-sa-port-deluxe-tours,vmtravel,https://vmtravel.com/da-nang-shore-excursions-from-tien-sa-port/,750000.0,From $30,3 Days,0,0,0,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,missing_meeting_point; image_relevance_requires_manual_review,Hue Shore Excursions From Chan May Port - Book 1 Day Tour,vmtravel-hue-shore-excursions-from-chan-may-port-book-1-day-tour,vmtravel,https://vmtravel.com/hue-shore-excursions-from-chan-may-port/,750000.0,From $30,1 Day,0,0,0,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
needs_recrawl,suspicious_duration,image_relevance_requires_manual_review,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,vmtravel-danang-shore-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,vmtravel_danang_shore,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/,750000.0,From $30,3 Days,8,8,8,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
needs_recrawl,suspicious_duration,,Da Nang City Tour From Tien Sa Port - Explore and Shopping,vmtravel-danang-shore-da-nang-city-tour-from-tien-sa-port-explore-and-shopping,vmtravel_danang_shore,https://vmtravel.com/tours/da-nang-city-tour-from-tien-sa-port/,750000.0,From $30,3 Days,8,8,8,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
needs_recrawl,suspicious_duration,image_relevance_requires_manual_review,Hoi An Day Tour from Tien Sa Port - Hoi An Shore Excursions,vmtravel-danang-shore-hoi-an-day-tour-from-tien-sa-port-hoi-an-shore-excursions,vmtravel_danang_shore,https://vmtravel.com/tours/hoi-an-day-tour-from-tien-sa-port/,750000.0,From $30,3 Days,8,8,8,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
needs_recrawl,suspicious_duration,image_relevance_requires_manual_review,My Son Sanctuary Tour From Tien Sa Port - Explore Now,vmtravel-danang-shore-my-son-sanctuary-tour-from-tien-sa-port-explore-now,vmtravel_danang_shore,https://vmtravel.com/tours/my-son-sanctuary-tour-from-tien-sa-port/,750000.0,From $30,3 Days,8,8,8,8,https://vmtravel.com/wp-content/uploads/2023/06/700x900.jpg
