tour_slug,tour_name,review_status,approve_for_seed,location_status,location_id_hint,location_slug,location_name,confidence,mapping_method,fix_notes,source_url
dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dacotours.com/ba-na-hills-from-da-nang/
dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,existing_seed_location,23,ba-na-hills,Ba Na Hills,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,approved,True,missing_location_seed,,bach-ma-national-park,Bach Ma National Park,low,keyword_context_match,Approved after creating missing location seed.,https://dananglocaltours.com/tour/bach-ma-national-park-tour/
dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/
dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,approved,True,existing_seed_location,3,bay-mau-coconut-forest,Bay Mau Coconut Forest,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/
dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,Cham Island Snorkeling Tour From Da Nang Good Price #1,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/
dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,Cham Island Snorkeling Tour From Da Nang Good Price #1,approved,True,existing_seed_location,13,cu-lao-cham,Cham Island (Cu Lao Cham),medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/
dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,Hoa Phu Thanh waterfall sliding daily tour - Da Nang Local Tours,pending_review,False,missing_location_seed,,hoa-phu-thanh,Hoa Phu Thanh,low,keyword_context_match,Pending: location seed is not approved yet.,https://dananglocaltours.com/tour/hoa-phu-thanh-waterfall-sliding-daily-tour/
dananglocaltours-basket-boat-hue-tour-from-da-nang-good-price-1-da-nang-local-tours,Hue Tour From Da Nang Good Price #1 - Da Nang Local Tours,approved,True,missing_location_seed,,hue-imperial-city,Hue Imperial City,low,keyword_context_match,Approved after creating missing location seed.,https://dananglocaltours.com/tour/hue-tour-from-da-nang/
dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,approved,True,existing_seed_location,1,hoi-an-ancient-town,Hoi An Ancient Town,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/
dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,approved,True,existing_seed_location,21,marble-mountains,Marble Mountains,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/
dananglocaltours-basket-boat-my-son-sanctuary-tour-from-da-nang-da-nang-local-tours,My Son Sanctuary Tour From Da Nang - Da Nang Local Tours,approved,True,existing_seed_location,8,my-son-sanctuary,My Son Sanctuary,medium,keyword_context_match,Auto-approved: maps approved tour to existing location seed.,https://dananglocaltours.com/tour/my-son-sanctuary-tour/
