catalog_index,tour_name,tour_slug,source_url,photo_index,is_primary,provider,provider_photo_id,provider_page_url,photographer,photographer_url,image_url,image_alt,local_file,local_path,content_type,bytes,sha256,width,height,cloudinary_public_id,cloudinary_resource_type,status,error,rights_note,duplicate_of_cloudinary_public_id
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,1,True,venus,,,,,https://venus-cdn.b-cdn.net/wp-content/uploads/2025/08/Video-scaled.jpg,,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,image/jpeg,433967,21106a5a3a1903e641e1144fceeb3c9b54524e88499fef5d965d4bbef4cd0182,,,danangtrip/tours/recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel/tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,2,False,pexels,28297412,https://www.pexels.com/photo/a-bridge-with-giant-hands-on-it-in-the-fog-28297412/,Pham Ngoc Anh,https://www.pexels.com/@pham-ngoc-anh-170983008,https://images.pexels.com/photos/28297412/pexels-photo-28297412.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,image/jpeg,318294,6dce3cb318737b947a81b1d6fb63a4f50272238632effc95a426a00cdf4500c0,,,danangtrip/tours/recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel/tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412,image,already_downloaded,,Pexels attribution metadata retained; verify final usage terms.,
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,3,False,pexels,20602155,https://www.pexels.com/photo/golden-hand-bridge-in-da-nang-in-vietnam-20602155/,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,https://images.pexels.com/photos/20602155/pexels-photo-20602155.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,image/jpeg,348799,53a71733eeba1e98bd6a14d27b3d8b5e482336ede0f233408cf0348b43e69ef7,,,danangtrip/tours/recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel/tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155,image,already_downloaded,,Pexels attribution metadata retained; verify final usage terms.,
2,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/,1,True,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2024/07/Bana-Hills-cable-car-in-Da-Nang.jpg,,tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p01__vmtravel-bana-hills-cable-car-in-da-nang.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p01__vmtravel-bana-hills-cable-car-in-da-nang.jpg,image/jpeg,699760,7c00fe63ca096fefae48c1844c4573bbdcb512154b3bf9fbccfb745178f3eee2,,,danangtrip/tours/vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port/tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p01__vmtravel-bana-hills-cable-car-in-da-nang,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
2,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/,2,False,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2023/07/bana-hills.jpg,,tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p02__vmtravel-bana-hills.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p02__vmtravel-bana-hills.jpg,image/jpeg,647606,2f30d9e891eec822e6b3e25440935297eda36f45aeb614de08a7cce792f9e261,,,danangtrip/tours/vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port/tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p02__vmtravel-bana-hills,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
2,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/,3,False,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2023/07/bana-hills-tour-from-chan-may-port.jpg,,tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p03__vmtravel-bana-hills-tour-from-chan-may-port.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p03__vmtravel-bana-hills-tour-from-chan-may-port.jpg,image/jpeg,624635,c1228d1704e2da2058444831342f28e1f94c285d0e8b1e97b3e7f8d794823ad2,,,danangtrip/tours/vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port/tour-002__vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port__p03__vmtravel-bana-hills-tour-from-chan-may-port,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
3,Ba Na Hills Night Tour and Sunset Golden Bridge Tour,vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour,https://vmtravel.com/tours/ba-na-hills-night-tour/,1,True,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2026/01/Ba-Na-Hills-night-tour.jpg,,tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p01__vmtravel-ba-na-hills-night-tour.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p01__vmtravel-ba-na-hills-night-tour.jpg,image/jpeg,795670,cfd51cf4d4c64457c418bdad81fa65beeb4a6b15e0169fc586bb8b75d84e20ca,,,danangtrip/tours/vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour/tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p01__vmtravel-ba-na-hills-night-tour,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
3,Ba Na Hills Night Tour and Sunset Golden Bridge Tour,vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour,https://vmtravel.com/tours/ba-na-hills-night-tour/,2,False,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2026/01/Event-at-Bana-Hills-by-night.jpg,,tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p02__vmtravel-event-at-bana-hills-by-night.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p02__vmtravel-event-at-bana-hills-by-night.jpg,image/jpeg,822561,126878d980cd70cea941e2e469832e963897e1b38674fcca784ae610760ecbb2,,,danangtrip/tours/vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour/tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p02__vmtravel-event-at-bana-hills-by-night,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
3,Ba Na Hills Night Tour and Sunset Golden Bridge Tour,vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour,https://vmtravel.com/tours/ba-na-hills-night-tour/,3,False,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2026/01/Sunset-Bana-Hills-Da-Nang.jpg,,tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p03__vmtravel-sunset-bana-hills-da-nang.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p03__vmtravel-sunset-bana-hills-da-nang.jpg,image/jpeg,749943,81626250048bc0fbe39073bfa8a7e362e3eb411357196af96285f66b06408009,,,danangtrip/tours/vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour/tour-003__vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour__p03__vmtravel-sunset-bana-hills-da-nang,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
4,Ba Na Hills Tour From Da Nang 1 Day Tour: Deluxe Group Tour,vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour,https://vmtravel.com/tours/ba-na-hills-tour-from-da-nang/,1,True,vmtravel,,,,,https://vmtravel.com/wp-content/uploads/2023/09/Bana-Hills-big-group-tour.jpg,,tour-004__vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour__p01__vmtravel-bana-hills-big-group-tour.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-004__vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour__p01__vmtravel-bana-hills-big-group-tour.jpg,image/jpeg,899431,37366374ed30f904f8bb9e899c66045a439636b6231b3f9870017594aed23607,,,danangtrip/tours/vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour/tour-004__vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour__p01__vmtravel-bana-hills-big-group-tour,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
