approve_for_seed,title,slug,category_hint,category_id,source_name,source_url,review_flags
True,Da Nang,da-nang,cam-nang-da-nang,24,vietnam-travel-da-nang,https://vietnam.travel/places-to-go/central-vietnam/da-nang,
True,Hoi An,hoi-an,cam-nang-hoi-an,22,vietnam-travel-hoi-an,https://vietnam.travel/places-to-go/central-vietnam/hoi-an,
True,Hue,hue,cam-nang-hue,23,vietnam-travel-hue,https://vietnam.travel/places-to-go/central-vietnam/hue,
True,3 perfect days in Danang,3-perfect-days-in-danang,lich-trinh,5,vietnam-travel-da-nang-itinerary,https://vietnam.travel/things-to-do/da-nang-itinerary,
True,Must-visit places in Da Nang,must-visit-places-in-da-nang,cam-nang-da-nang,24,vietnam-travel-da-nang-must-visit,https://vietnam.travel/things-to-do/must-visit-places-in-da-nang,
True,How to explore and enjoy Ba Na Hills,how-to-explore-and-enjoy-ba-na-hills,diem-den,3,vietnam-travel-ba-na-hills,https://vietnam.travel/things-to-do/explore-ba-na-hills,
True,A walk around Marble Mountains,a-walk-around-marble-mountains,diem-den,3,vietnam-travel-marble-mountains,https://vietnam.travel/things-to-do/around-marble-mountains,
True,The mystic My Son,the-mystic-my-son,diem-den,3,vietnam-travel-my-son,https://vietnam.travel/things-to-do/mystic-my-son,
True,Da Nang's special pork rolls,da-nang-s-special-pork-rolls,am-thuc,2,vietnam-travel-da-nang-food,https://vietnam.travel/things-to-do/da-nangs-special-pork-rolls,
True,Hai Van Pass,hai-van-pass,diem-den,3,danangfantasticity-hai-van-pass,https://danangfantasticity.com/hai-van-pass,
True,The Son Tra Peninsula,the-son-tra-peninsula,diem-den,3,danangfantasticity-son-tra-peninsula,https://danangfantasticity.com/the-son-tra-peninsula,
True,Da Nang Beaches,da-nang-beaches,bien,64,danangfantasticity-da-nang-beaches,https://danangfantasticity.com/en/see-and-do/da-nang-beaches-2,
True,A traveller's guide to Vietnam's airports,a-traveller-s-guide-to-vietnam-s-airports,di-chuyen,30,vietnam-travel-airports,https://vietnam.travel/node/887,
True,Transport within Vietnam,transport-within-vietnam,di-chuyen,30,vietnam-travel-transport-within-vietnam,https://vietnam.travel/plan-your-trip/transport-within-vietnam,
True,Plan your trip,plan-your-trip,kinh-nghiem,1,vietnam-travel-plan-your-trip,https://vietnam.travel/plan-your-trip,
True,Motorbiking Hoi An to Hue over Hai Van Pass,motorbiking-hoi-an-to-hue-over-hai-van-pass,di-chuyen,30,vietnam-travel-motorbike-hoi-an-hue,https://vietnam.travel/node/705,
True,Must-do Da Nang: An insider list,must-do-da-nang-an-insider-list,kinh-nghiem,1,vietnam-travel-da-nang-insider-list,https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list,
True,4 Reasons Why Da Nang is Vietnam’s Most Livable City,4-reasons-why-da-nang-is-vietnam-s-most-livable-city,kinh-nghiem,1,vietnam-travel-da-nang-livable-city,https://vietnam.travel/things-to-do/4-reasons-da-nang-is-vietnam-most-livable-city,
