id,name,slug,status,address,district,ward,latitude,longitude,phone,website,opening_hours,price_min,price_max,avg_rating,review_count,thumbnail,images,category_name,category_slug,review_score,review_bucket,review_reasons
113,139nguyen ducedm,139nguyen-ducedm,inactive,"139, Nguyen duc chung, Da Nang",Da Nang,,16.06281500,108.21016330,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559280/danangtrip/locations/139nguyen-ducedm/loc-113__139nguyen-ducedm__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559280/danangtrip/locations/139nguyen-ducedm/loc-113__139nguyen-ducedm__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
114,4 Seasons Danang Hostel,4-seasons-danang-hostel,inactive,"69, Chau Thi Vinh Te, Ngu Hanh Son District, Danang",Ngu Hanh Son District,,16.05093900,108.24040080,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559283/danangtrip/locations/4-seasons-danang-hostel/loc-114__4-seasons-danang-hostel__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559283/danangtrip/locations/4-seasons-danang-hostel/loc-114__4-seasons-danang-hostel__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
117,Adela,adela,inactive,"10, Duong An Thuong 36, Da Nang",Da Nang,,16.05291700,108.24405740,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559292/danangtrip/locations/adela/loc-117__adela__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559292/danangtrip/locations/adela/loc-117__adela__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
118,Altara Suites,altara-suites,inactive,"120, Da Nang",Da Nang,,16.07774380,108.24513650,,http://altarasuites.com,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559329/danangtrip/locations/altara-suites/loc-118__altara-suites__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559329/danangtrip/locations/altara-suites/loc-118__altara-suites__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
119,Alyssa hotel,alyssa-hotel,inactive,"109D, Duong Duong Dinh Nghe, Da Nang",Da Nang,,16.06866590,108.23882730,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559332/danangtrip/locations/alyssa-hotel/loc-119__alyssa-hotel__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559332/danangtrip/locations/alyssa-hotel/loc-119__alyssa-hotel__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
120,Aria Da Nang,aria-da-nang,inactive,"02, Duong Truong Sa, Ngu Hanh Son, Da Nang",Ngu Hanh Son,,15.98965940,108.27233350,,https://www.facebook.com/CanhobietthucaocapAriaDaNang,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559335/danangtrip/locations/aria-da-nang/loc-120__aria-da-nang__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559335/danangtrip/locations/aria-da-nang/loc-120__aria-da-nang__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
137,Barney's Danang Backpacker's Hostel,barney-s-danang-backpacker-s-hostel,inactive,"169, Tran Hung Dao, Da Nang",Da Nang,,16.07892410,108.22896490,,http://www.barneyhostel.com,"{""raw"": ""Mo-Su 07:00-22:30""}",,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559381/danangtrip/locations/barney-s-danang-backpacker-s-hostel/loc-137__barney-s-danang-backpacker-s-hostel__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559381/danangtrip/locations/barney-s-danang-backpacker-s-hostel/loc-137__barney-s-danang-backpacker-s-hostel__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
140,bella boutique Villa,bella-boutique-villa,inactive,"29, Do The Chap, Son Tra, Da Nang",Son Tra,,16.07775880,108.24441520,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559390/danangtrip/locations/bella-boutique-villa/loc-140__bella-boutique-villa__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559390/danangtrip/locations/bella-boutique-villa/loc-140__bella-boutique-villa__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
141,Bien Vang Hotel,bien-vang-hotel,inactive,"Pham Van Dong, Da Nang",Da Nang,,16.07092630,108.23526010,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559392/danangtrip/locations/bien-vang-hotel/loc-141__bien-vang-hotel__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559392/danangtrip/locations/bien-vang-hotel/loc-141__bien-vang-hotel__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
156,Cents Hotel,cents-hotel,inactive,"108, Cao Ba Quat, Da Nang",Da Nang,,16.06284840,108.23065580,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559434/danangtrip/locations/cents-hotel/loc-156__cents-hotel__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559434/danangtrip/locations/cents-hotel/loc-156__cents-hotel__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
157,ChaChi homestay,chachi-homestay,inactive,"06, Kiet 15 Luong The Vinh, Son Tra, Da Nang",Son Tra,,16.06388240,108.23431620,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559437/danangtrip/locations/chachi-homestay/loc-157__chachi-homestay__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559437/danangtrip/locations/chachi-homestay/loc-157__chachi-homestay__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
160,Cherry Hotel & Apartments,cherry-hotel-apartments,inactive,"20, Duong Do Bi, Da Nang",Da Nang,,16.05438340,108.24581710,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559446/danangtrip/locations/cherry-hotel-apartments/loc-160__cherry-hotel-apartments__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559446/danangtrip/locations/cherry-hotel-apartments/loc-160__cherry-hotel-apartments__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
161,Chi Hoa,chi-hoa,inactive,"52, Bac Dau, Da Nang",Da Nang,,16.07590940,108.21080490,,,,,,0.00,0,https://res.cloudinary.com/dmukxquza/image/upload/v1780559449/danangtrip/locations/chi-hoa/loc-161__chi-hoa__p01.jpg,"[""https://res.cloudinary.com/dmukxquza/image/upload/v1780559449/danangtrip/locations/chi-hoa/loc-161__chi-hoa__p01.jpg""]",Khách sạn & Homestay,khach-san-homestay,7,manual_lodging_review,lodging_needs_manual_review
