publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
ready_for_manual_publish,,,Highlight The 4 Days Deluxe Golf Tour In Da Nang,vmtravel-central-001-highlight-the-4-days-deluxe-golf-tour-in-da-nang,vmtravel_central_001,https://vmtravel.com/tours/4-days-deluxe-golf-tour-in-da-nang/,10625000.0,$425,4 Days,9,10,4,8,https://vmtravel.com/wp-content/uploads/2024/07/Da-Nang-Golf-Courses.jpg
ready_for_manual_publish,,missing_meeting_point,Ba Na Hills Night Tour and Sunset Golden Bridge Tour,vmtravel-central-002-ba-na-hills-night-tour-and-sunset-golden-bridge-tour,vmtravel_central_002,https://vmtravel.com/tours/ba-na-hills-night-tour/,1475000.0,$59,8 Hours,8,4,3,8,https://vmtravel.com/wp-content/uploads/2026/01/Ba-Na-Hills-night-tour.jpg
ready_for_manual_publish,,missing_meeting_point,Ba Na Hills Tour From Da Nang 1 Day Tour: Deluxe Group Tour,vmtravel-central-003-ba-na-hills-tour-from-da-nang-1-day-tour-deluxe-group-tour,vmtravel_central_003,https://vmtravel.com/tours/ba-na-hills-tour-from-da-nang/,1625000.0,$65,1 day,9,6,3,8,https://vmtravel.com/wp-content/uploads/2023/09/Bana-Hills-big-group-tour.jpg
ready_for_manual_publish,,missing_meeting_point,Ba Na Hills Tour From Hoi An - Exquisite Delight 1 Day Tour,vmtravel-central-004-ba-na-hills-tour-from-hoi-an-exquisite-delight-1-day-tour,vmtravel_central_004,https://vmtravel.com/tours/ba-na-hills-tour-from-hoi-an/,1625000.0,$65,1 day,9,6,3,8,https://vmtravel.com/wp-content/uploads/2023/07/bana-hill-tour-from-hoi-an.jpg
ready_for_manual_publish,,missing_meeting_point,Bana Hills Day Tour - Book 1 Day Tour in Da Nang - Best Trip,vmtravel-central-005-bana-hills-day-tour-book-1-day-tour-in-da-nang-best-trip,vmtravel_central_005,https://vmtravel.com/tours/bana-hills-day-tour-private-tours/,3150000.0,$126,1 day,3,6,2,8,https://vmtravel.com/wp-content/uploads/2023/07/explore-Golden-Bridge.jpg
ready_for_manual_publish,,,Cham Island Snorkeling Tour from Hoi An or Da Nang,vmtravel-central-006-cham-island-snorkeling-tour-from-hoi-an-or-da-nang,vmtravel_central_006,https://vmtravel.com/tours/cham-island-snorkeling-tour/,750000.0,$30,6 Hours,8,7,4,8,https://vmtravel.com/wp-content/uploads/2024/01/snockerling-in-cham-island.jpg
ready_for_manual_publish,,missing_meeting_point,Da Nang City Tour - Deluxe Group Tour,vmtravel-central-007-da-nang-city-tour-deluxe-group-tour-vm-travel,vmtravel_central_007,https://vmtravel.com/tours/da-nang-city-tour-deluxe-group/,800000.0,$32,6 Hours,7,5,3,8,https://vmtravel.com/wp-content/uploads/2023/09/danang-tour.jpg
ready_for_manual_publish,,missing_meeting_point,Da Nang Day Tour - Private Tour | Highlight Full Day Tour,vmtravel-central-008-da-nang-day-tour-private-tour-highlight-full-day-tour,vmtravel_central_008,https://vmtravel.com/tours/da-nang-day-tour-private-tour/,3450000.0,$138,1 Day,4,5,3,8,https://vmtravel.com/wp-content/uploads/2023/11/da-nang-city-tour.jpg
ready_for_manual_publish,,missing_meeting_point,Da Nang Hoi An Full Day Tour - See the Best of Both Cities,vmtravel-central-010-da-nang-hoi-an-full-day-tour-see-the-best-of-both-cities,vmtravel_central_010,https://vmtravel.com/tours/da-nang-hoi-an-full-day-tour/,1300000.0,$52,1 Day,9,8,3,8,https://vmtravel.com/wp-content/uploads/2023/07/da-nang-and-hoi-an-city-tour.jpg
ready_for_manual_publish,,,Da Nang to Hue Day Trip by Heritage Train via Hai Van Pass,vmtravel-central-011-da-nang-to-hue-day-trip-by-heritage-train-via-hai-van-pass,vmtravel_central_011,https://vmtravel.com/tours/da-nang-to-hue-day-trip-by-heritage-train/,1625000.0,$65,9 Hours,8,8,4,8,https://vmtravel.com/wp-content/uploads/2026/01/Da-Nang-to-Hue-Day-trip-by-heritage-train.jpg
