file,vietnamese_unaccented,vietnamese_accented,other_or_english,empty
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-danang-pois.json,3885,,4883,880
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-danang-pois-enriched.json,2863,,3855,518
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-danang-pois-clean.json,2437,,3095,518
D:\DATN\DATN_Tài liệu\database-seeders\12_overpass_danang_pois_seed.sql,1884,,2,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-danang-pois-rejected.json,1440,,1778,360
D:\DATN\DATN_Tài liệu\database-seeders\14_pexels_image_enrichment_seed.sql,1160,,1,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-merged-normalized.json,368,48,3221,
D:\DATN\DATN_Tài liệu\database-seeders\09_ratings_interactions.sql,311,,1578,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-normalized.json,245,36,2085,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-raw.json,245,36,2085,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-batch2-pagelinks-raw.json,243,15,2265,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-batch2-raw.json,213,36,1807,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-batch2-pagelinks-normalized.json,167,12,1591,
D:\DATN\DATN_Tài liệu\database-seeders\08_bookings_payments.sql,163,,1174,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-crawl-batch2-normalized.json,121,28,1041,
D:\DATN\DATN_Tài liệu\database-seeders\03_tour_blog_categories.sql,110,,290,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-staging-enriched.json,71,3,781,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-staging-merged.json,71,3,744,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-staging.json,71,3,744,
D:\DATN\DATN_Tài liệu\database-seeders\20_approved_tour_staging_seed.sql,71,12,337,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-enriched-20260606.json,63,3,665,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-staging-20260606.json,63,3,632,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v2-enriched-20260606.json,59,6,539,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v2-staging-20260606.json,59,6,508,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\verified-real-tour-catalog-20260607.json,59,5,598,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\verified-real-tour-catalog-cloudinary-20260607.json,59,5,598,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v3-enriched-20260606.json,53,6,488,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v3-staging-20260606.json,53,6,460,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\venus-tour-pexels-enriched-20260607.json,53,6,488,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-enriched-20260607.json,50,2,519,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v2-enriched-20260607.json,50,2,519,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v2-staging-20260607.json,50,2,494,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v3-enriched-20260607.json,50,2,519,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v3-staging-20260607.json,50,2,494,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-staging-20260607.json,50,2,494,
D:\DATN\DATN_Tài liệu\database-seeders\06_tours.sql,48,,104,
D:\DATN\DATN_Tài liệu\database-seeders\22_approved_blog_guides_seed.sql,36,,17,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-20260606-normalized.json,32,4,705,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-20260606-raw.json,32,4,705,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\overpass-approval-batch1-review.csv,31,,515,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v2-20260606-normalized.json,31,7,526,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v2-20260606-raw.json,31,7,526,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v3-20260606-normalized.json,28,7,470,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\tour-recrawl-parser-v3-20260606-raw.json,28,7,470,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-detail-20260607-normalized.json,26,2,706,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-detail-20260607-raw.json,26,2,706,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v2-20260607-normalized.json,26,2,706,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v2-20260607-raw.json,26,2,706,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v3-20260607-normalized.json,26,2,706,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-central-price-v3-20260607-raw.json,26,2,706,
D:\DATN\DATN_Tài liệu\database-seeders\01_categories_subcategories.sql,23,,177,
D:\DATN\DATN_Tài liệu\database-seeders\18_landing_pages_seed.sql,20,,8,
D:\DATN\DATN_Tài liệu\database-seeders\02_tags_amenities.sql,18,,173,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\landing-faq-staging.json,17,,15,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\landing-faq-review.csv,16,,26,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\blog-guides-staging.json,13,12,44,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-old-ready-price-recheck-enriched-20260607.json,9,3,87,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\vmtravel-old-ready-price-recheck-staging-20260607.json,9,3,82,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\approved-locations-review.csv,8,12,12,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\approved-locations-review.json,8,12,12,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\legacy-ready-recheck-enriched-20260607.json,8,,69,
D:\DATN\DATN_Tài liệu\danangtrip-crawler\data\legacy-ready-recheck-staging-20260607.json,8,,65,
