address,asset_id,bytes,category_name,category_slug,cloudinary_public_id,district,download_message,format,height,id,image_url,latitude,local_file,local_path,location_id,location_slug,longitude,name,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,public_id,search_query,search_status,secure_url,slug,status,thumbnail,thumbnail_url,upload_status,version,width
"187 Tran Phu, Da Nang",36cc558f1a843a02c042c0d842330894,564004,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/limoncello/loc-52__limoncello__p01,Hải Châu,existing:564004,jpg,1253,52,https://images.pexels.com/photos/37800761/pexels-photo-37800761.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06500000,loc-52__limoncello__active-missing-thumbnail__p01__pexels-37800761.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-52__limoncello__active-missing-thumbnail__p01__pexels-37800761.jpg,52,limoncello,108.22300000,Limoncello,37800761,1,Nguyễn Viết Minh Lâm,https://www.pexels.com/@wlamnv,pexels,https://www.pexels.com/photo/da-nang-night-skyline-with-illuminated-bridge-37800761/,danangtrip/locations/limoncello/loc-52__limoncello__p01,Limoncello Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563340/danangtrip/locations/limoncello/loc-52__limoncello__p01.jpg,limoncello,already_downloaded,,https://images.pexels.com/photos/37800761/pexels-photo-37800761.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563340,1880
"07 Le Hong Phong, Da Nang",4aaab19dc3610b9b16b7ae8f9c283721,159857,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/der-morgen-coffee/loc-53__der-morgen-coffee__p01,Hải Châu,existing:159857,jpg,1253,53,https://images.pexels.com/photos/32744958/pexels-photo-32744958.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06500000,loc-53__der-morgen-coffee__active-missing-thumbnail__p01__pexels-32744958.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-53__der-morgen-coffee__active-missing-thumbnail__p01__pexels-32744958.jpg,53,der-morgen-coffee,108.22150000,Der Morgen Coffee,32744958,1,Nhà văn,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/cozy-cafe-table-with-vietnamese-iced-coffee-32744958/,danangtrip/locations/der-morgen-coffee/loc-53__der-morgen-coffee__p01,Der Morgen Coffee Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563342/danangtrip/locations/der-morgen-coffee/loc-53__der-morgen-coffee__p01.jpg,der-morgen-coffee,already_downloaded,,https://images.pexels.com/photos/32744958/pexels-photo-32744958.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563342,1880
"37 Tran Quy Cap, Da Nang",9cc3abac9d0bb4506187e7824b0b5ca8,151885,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/das-chill-coffee/loc-54__das-chill-coffee__p01,Hải Châu,existing:151885,jpg,1253,54,https://images.pexels.com/photos/32744966/pexels-photo-32744966.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.07800000,loc-54__das-chill-coffee__active-missing-thumbnail__p01__pexels-32744966.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-54__das-chill-coffee__active-missing-thumbnail__p01__pexels-32744966.jpg,54,das-chill-coffee,108.22050000,Das-Chill Coffee,32744966,1,Nhà văn,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/warm-vietnamese-coffee-by-a-bright-window-32744966/,danangtrip/locations/das-chill-coffee/loc-54__das-chill-coffee__p01,Das-Chill Coffee Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563345/danangtrip/locations/das-chill-coffee/loc-54__das-chill-coffee__p01.jpg,das-chill-coffee,already_downloaded,,https://images.pexels.com/photos/32744966/pexels-photo-32744966.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563345,1880
"111 Nguyen Huu Tho, Da Nang",3ad8e4286c5c00410ee0612b3a6ce5e7,253161,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/trinh-cafe/loc-55__trinh-cafe__p01,Cẩm Lệ,existing:253161,jpg,1257,55,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.04500000,loc-55__trinh-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-55__trinh-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,55,trinh-cafe,108.21000000,Trinh Cafe,6452798,1,Kmws 246,https://www.pexels.com/@kmws-246-13633704,pexels,https://www.pexels.com/photo/woman-in-white-long-sleeve-shirt-sitting-on-black-metal-chair-6452798/,danangtrip/locations/trinh-cafe/loc-55__trinh-cafe__p01,Trinh Cafe Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563347/danangtrip/locations/trinh-cafe/loc-55__trinh-cafe__p01.jpg,trinh-cafe,already_downloaded,,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563347,1880
"50 Bach Dang, Da Nang",0894b37d677e1de62c974f75e22ee62f,440280,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/starbucks-bach-dang/loc-56__starbucks-bach-dang__p01,Hải Châu,existing:440280,jpg,1253,56,https://images.pexels.com/photos/32877192/pexels-photo-32877192.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.07800000,loc-56__starbucks-bach-dang__active-missing-thumbnail__p01__pexels-32877192.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-56__starbucks-bach-dang__active-missing-thumbnail__p01__pexels-32877192.jpg,56,starbucks-bach-dang,108.22400000,Starbucks Bach Dang,32877192,1,Tuan Vy,https://www.pexels.com/@tuan-vy-903011268,pexels,https://www.pexels.com/photo/bustling-city-street-with-shops-and-traffic-32877192/,danangtrip/locations/starbucks-bach-dang/loc-56__starbucks-bach-dang__p01,Starbucks Bach Dang Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563351/danangtrip/locations/starbucks-bach-dang/loc-56__starbucks-bach-dang__p01.jpg,starbucks-bach-dang,already_downloaded,,https://images.pexels.com/photos/32877192/pexels-photo-32877192.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563351,1880
"Four Points Sheraton, Da Nang",a762bf2b177d41230bceeabe3f769a62,256604,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/horizon-bar/loc-57__horizon-bar__p01,Sơn Trà,existing:256604,jpg,1253,57,https://images.pexels.com/photos/1006105/pexels-photo-1006105.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.07400000,loc-57__horizon-bar__active-missing-thumbnail__p01__pexels-1006105.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-57__horizon-bar__active-missing-thumbnail__p01__pexels-1006105.jpg,57,horizon-bar,108.24550000,Horizon Bar,1006105,1,Min An,https://www.pexels.com/@minan1398,pexels,https://www.pexels.com/photo/person-wearing-black-jeans-and-white-sneakers-1006105/,danangtrip/locations/horizon-bar/loc-57__horizon-bar__p01,Horizon Bar Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563353/danangtrip/locations/horizon-bar/loc-57__horizon-bar__p01.jpg,horizon-bar,already_downloaded,,https://images.pexels.com/photos/1006105/pexels-photo-1006105.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563353,1880
"17 Phan Thanh, Da Nang",a49ec93fc549a1c89600fe04ac6410ac,159857,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/ador-coffee/loc-58__ador-coffee__p01,Thanh Khê,existing:159857,jpg,1253,58,https://images.pexels.com/photos/32744958/pexels-photo-32744958.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06400000,loc-58__ador-coffee__active-missing-thumbnail__p01__pexels-32744958.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-58__ador-coffee__active-missing-thumbnail__p01__pexels-32744958.jpg,58,ador-coffee,108.21200000,ADOR Coffee,32744958,1,Nhà văn,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/cozy-cafe-table-with-vietnamese-iced-coffee-32744958/,danangtrip/locations/ador-coffee/loc-58__ador-coffee__p01,ADOR Coffee Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563356/danangtrip/locations/ador-coffee/loc-58__ador-coffee__p01.jpg,ador-coffee,already_downloaded,,https://images.pexels.com/photos/32744958/pexels-photo-32744958.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563356,1880
"186 Phan Chau Trinh, Da Nang",2ac893f7a7f3a6bad531929deae995d9,253161,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/trangcasa-cafe/loc-59__trangcasa-cafe__p01,Hải Châu,existing:253161,jpg,1257,59,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06200000,loc-59__trangcasa-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-59__trangcasa-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,59,trangcasa-cafe,108.21800000,Trangcasa Cafe,6452798,1,Kmws 246,https://www.pexels.com/@kmws-246-13633704,pexels,https://www.pexels.com/photo/woman-in-white-long-sleeve-shirt-sitting-on-black-metal-chair-6452798/,danangtrip/locations/trangcasa-cafe/loc-59__trangcasa-cafe__p01,Trangcasa Cafe Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563359/danangtrip/locations/trangcasa-cafe/loc-59__trangcasa-cafe__p01.jpg,trangcasa-cafe,already_downloaded,,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563359,1880
"92 Phan Chau Trinh, Da Nang",dd3fa04fed9b4cbc8e5c9325cb361ab9,253161,Nhà hàng quốc tế,nha-hang-quoc-te,danangtrip/locations/dau-ngot-cafe/loc-60__dau-ngot-cafe__p01,Hải Châu,existing:253161,jpg,1257,60,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.06500000,loc-60__dau-ngot-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-60__dau-ngot-cafe__active-missing-thumbnail__p01__pexels-6452798.jpg,60,dau-ngot-cafe,108.21900000,Dau Ngot Cafe,6452798,1,Kmws 246,https://www.pexels.com/@kmws-246-13633704,pexels,https://www.pexels.com/photo/woman-in-white-long-sleeve-shirt-sitting-on-black-metal-chair-6452798/,danangtrip/locations/dau-ngot-cafe/loc-60__dau-ngot-cafe__p01,Dau Ngot Cafe Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563362/danangtrip/locations/dau-ngot-cafe/loc-60__dau-ngot-cafe__p01.jpg,dau-ngot-cafe,already_downloaded,,https://images.pexels.com/photos/6452798/pexels-photo-6452798.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563362,1880
"Vo Nguyen Giap, Da Nang",978e15e94b1b3c84501409954020f198,245719,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/danang-marriott-resort/loc-61__danang-marriott-resort__p01,Sơn Trà,existing:245719,jpg,1271,61,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.00500000,loc-61__danang-marriott-resort__active-missing-thumbnail__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-61__danang-marriott-resort__active-missing-thumbnail__p01__pexels-26550067.jpg,61,danang-marriott-resort,108.26500000,Danang Marriott Resort,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,danangtrip/locations/danang-marriott-resort/loc-61__danang-marriott-resort__p01,Danang Marriott Resort Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563365/danangtrip/locations/danang-marriott-resort/loc-61__danang-marriott-resort__p01.jpg,danang-marriott-resort,already_downloaded,,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,uploaded,1780563365,1880
