address,asset_id,bytes,category_name,category_slug,cloudinary_public_id,district,download_message,format,height,id,image_url,latitude,local_file,local_path,location_id,location_slug,longitude,name,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,public_id,search_query,search_status,secure_url,slug,status,thumbnail,thumbnail_url,upload_error,upload_status,version,width
"Hoi An, Quang Nam",baa384d878079942b55e7ac9f35eb246,444720,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/hoi-an-ancient-town/loc-1__hoi-an-ancient-town__p01,Ngũ Hành Sơn,existing:444720,jpg,1253,1,https://images.pexels.com/photos/36823488/pexels-photo-36823488.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.87710000,loc-1__hoi-an-ancient-town__active-missing-thumbnail__p01__pexels-36823488.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-1__hoi-an-ancient-town__active-missing-thumbnail__p01__pexels-36823488.jpg,1,hoi-an-ancient-town,108.32650000,Hoi An Ancient Town,36823488,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/vibrant-street-scene-in-h-i-an-vietnam-36823488/,danangtrip/locations/hoi-an-ancient-town/loc-1__hoi-an-ancient-town__p01,Hoi An Ancient Town Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563195/danangtrip/locations/hoi-an-ancient-town/loc-1__hoi-an-ancient-town__p01.jpg,hoi-an-ancient-town,already_downloaded,,https://images.pexels.com/photos/36823488/pexels-photo-36823488.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563195,1880
"Hen Island, Hoi An",58986053e75bc8a5cdee826d5eae8923,444720,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/hoi-an-memories-land/loc-2__hoi-an-memories-land__p01,Ngũ Hành Sơn,existing:444720,jpg,1253,2,https://images.pexels.com/photos/36823488/pexels-photo-36823488.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.87520000,loc-2__hoi-an-memories-land__active-missing-thumbnail__p01__pexels-36823488.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-2__hoi-an-memories-land__active-missing-thumbnail__p01__pexels-36823488.jpg,2,hoi-an-memories-land,108.33940000,Hoi An Memories Land,36823488,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/vibrant-street-scene-in-h-i-an-vietnam-36823488/,danangtrip/locations/hoi-an-memories-land/loc-2__hoi-an-memories-land__p01,Hoi An Memories Land Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563198/danangtrip/locations/hoi-an-memories-land/loc-2__hoi-an-memories-land__p01.jpg,hoi-an-memories-land,already_downloaded,,https://images.pexels.com/photos/36823488/pexels-photo-36823488.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563198,1880
"Cam Thanh, Hoi An",6be2aec49ec47e8d76d8b818e3195eb3,422588,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/bay-mau-coconut-forest/loc-3__bay-mau-coconut-forest__p01,Ngũ Hành Sơn,existing:422588,jpg,1250,3,https://images.pexels.com/photos/10560801/pexels-photo-10560801.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.87120000,loc-3__bay-mau-coconut-forest__active-missing-thumbnail__p01__pexels-10560801.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-3__bay-mau-coconut-forest__active-missing-thumbnail__p01__pexels-10560801.jpg,3,bay-mau-coconut-forest,108.36450000,Bay Mau Coconut Forest,10560801,1,Mike Tyurin,https://www.pexels.com/@miketyurin,pexels,https://www.pexels.com/photo/brown-wooden-boat-on-lake-10560801/,danangtrip/locations/bay-mau-coconut-forest/loc-3__bay-mau-coconut-forest__p01,Bay Mau Coconut Forest Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563200/danangtrip/locations/bay-mau-coconut-forest/loc-3__bay-mau-coconut-forest__p01.jpg,bay-mau-coconut-forest,already_downloaded,,https://images.pexels.com/photos/10560801/pexels-photo-10560801.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563200,1880
"Tam Thanh, Quang Nam",f3315f7bbf7d24041c54130123e312bb,245719,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/tam-thanh-beach/loc-4__tam-thanh-beach__p01,Ngũ Hành Sơn,existing:245719,jpg,1271,4,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.61110000,loc-4__tam-thanh-beach__active-missing-thumbnail__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-4__tam-thanh-beach__active-missing-thumbnail__p01__pexels-26550067.jpg,4,tam-thanh-beach,108.52220000,Tam Thanh Beach,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,danangtrip/locations/tam-thanh-beach/loc-4__tam-thanh-beach__p01,Tam Thanh Beach Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563203/danangtrip/locations/tam-thanh-beach/loc-4__tam-thanh-beach__p01.jpg,tam-thanh-beach,already_downloaded,,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563203,1880
"Dong Giang, Quang Nam",457b4c89f331496af4ef659b09b9c71c,142955,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/dong-giang-heavens-gate/loc-6__dong-giang-heavens-gate__p01,Ngũ Hành Sơn,existing:142955,jpg,1300,6,https://images.pexels.com/photos/36839005/pexels-photo-36839005.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.95000000,loc-6__dong-giang-heavens-gate__active-missing-thumbnail__p01__pexels-36839005.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-6__dong-giang-heavens-gate__active-missing-thumbnail__p01__pexels-36839005.jpg,6,dong-giang-heavens-gate,107.85000000,Dong Giang Heaven Gate,36839005,1,Ba Uoc Phung,https://www.pexels.com/@ba-uoc-phung-355372,pexels,https://www.pexels.com/photo/scenic-aerial-view-of-ba-na-hills-in-vietnam-36839005/,danangtrip/locations/dong-giang-heavens-gate/loc-6__dong-giang-heavens-gate__p01,Dong Giang Heaven Gate Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563206/danangtrip/locations/dong-giang-heavens-gate/loc-6__dong-giang-heavens-gate__p01.jpg,dong-giang-heavens-gate,already_downloaded,,https://images.pexels.com/photos/36839005/pexels-photo-36839005.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563206,1733
"Vo Nguyen Giap, Da Nang",4ad7c338997112ae27e916d10cc73c41,455440,Cà phê & Trà sữa,ca-phe-tra-sua,danangtrip/locations/furama-ariyana-complex/loc-7__furama-ariyana-complex__p01,Sơn Trà,existing:455440,jpg,1056,7,https://images.pexels.com/photos/32824424/pexels-photo-32824424.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,16.03880000,loc-7__furama-ariyana-complex__active-missing-thumbnail__p01__pexels-32824424.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-7__furama-ariyana-complex__active-missing-thumbnail__p01__pexels-32824424.jpg,7,furama-ariyana-complex,108.24920000,Furama Ariyana Complex,32824424,1,Hiếu Lê,https://www.pexels.com/@hi-u-le-921253873,pexels,https://www.pexels.com/photo/aerial-view-of-coastal-resort-and-beachfront-32824424/,danangtrip/locations/furama-ariyana-complex/loc-7__furama-ariyana-complex__p01,Furama Ariyana Complex Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563208/danangtrip/locations/furama-ariyana-complex/loc-7__furama-ariyana-complex__p01.jpg,furama-ariyana-complex,already_downloaded,,https://images.pexels.com/photos/32824424/pexels-photo-32824424.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563208,1880
"Duy Xuyen, Quang Nam",696c53c78b76d46a71f95f84a40a4ded,447115,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/my-son-sanctuary/loc-8__my-son-sanctuary__p01,Ngũ Hành Sơn,existing:447115,jpg,1253,8,https://images.pexels.com/photos/29534974/pexels-photo-29534974.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.76380000,loc-8__my-son-sanctuary__active-missing-thumbnail__p01__pexels-29534974.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-8__my-son-sanctuary__active-missing-thumbnail__p01__pexels-29534974.jpg,8,my-son-sanctuary,108.12350000,My Son Sanctuary,29534974,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/woman-in-traditional-dress-at-my-son-sanctuary-29534974/,danangtrip/locations/my-son-sanctuary/loc-8__my-son-sanctuary__p01,My Son Sanctuary Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563211/danangtrip/locations/my-son-sanctuary/loc-8__my-son-sanctuary__p01.jpg,my-son-sanctuary,already_downloaded,,https://images.pexels.com/photos/29534974/pexels-photo-29534974.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563211,1880
"Nui Thanh, Quang Nam",536f72567f4e31927616fb8e6a446234,318248,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/ban-than-scenic-area/loc-9__ban-than-scenic-area__p01,Hải Châu,existing:318248,jpg,1272,9,https://images.pexels.com/photos/26742036/pexels-photo-26742036.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.45000000,loc-9__ban-than-scenic-area__active-missing-thumbnail__p01__pexels-26742036.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-9__ban-than-scenic-area__active-missing-thumbnail__p01__pexels-26742036.jpg,9,ban-than-scenic-area,108.68000000,Ban Than - Hon Mang,26742036,1,kittbui,https://www.pexels.com/@kittbui-2131870,pexels,https://www.pexels.com/photo/a-man-photographing-the-city-of-da-nang-in-vietnam-from-an-elevated-observation-point-26742036/,danangtrip/locations/ban-than-scenic-area/loc-9__ban-than-scenic-area__p01,Ban Than - Hon Mang Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563214/danangtrip/locations/ban-than-scenic-area/loc-9__ban-than-scenic-area__p01.jpg,ban-than-scenic-area,already_downloaded,,https://images.pexels.com/photos/26742036/pexels-photo-26742036.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563214,1880
"Phu Ninh, Quang Nam",b7e22cc3a49cb55bc8bc20b554e3a2d1,258754,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/phu-ninh-lake/loc-10__phu-ninh-lake__p01,Ngũ Hành Sơn,existing:258754,jpg,1251,10,https://images.pexels.com/photos/4168241/pexels-photo-4168241.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.52000000,loc-10__phu-ninh-lake__active-missing-thumbnail__p01__pexels-4168241.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-10__phu-ninh-lake__active-missing-thumbnail__p01__pexels-4168241.jpg,10,phu-ninh-lake,108.45000000,Phu Ninh Lake,4168241,1,Tam Nguyen,https://www.pexels.com/@tam-nguyen-2174206,pexels,https://www.pexels.com/photo/blue-boat-on-the-lake-4168241/,danangtrip/locations/phu-ninh-lake/loc-10__phu-ninh-lake__p01,Phu Ninh Lake Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563216/danangtrip/locations/phu-ninh-lake/loc-10__phu-ninh-lake__p01.jpg,phu-ninh-lake,already_downloaded,,https://images.pexels.com/photos/4168241/pexels-photo-4168241.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563216,1880
"Hoi An, Quang Nam",e2b8d90ec48b45740b7494d7a17cc141,483139,Ẩm thực địa phương,am-thuc-dia-phuong,danangtrip/locations/thu-bon-river/loc-11__thu-bon-river__p01,Ngũ Hành Sơn,existing:483139,jpg,1254,11,https://images.pexels.com/photos/11427368/pexels-photo-11427368.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,15.87700000,loc-11__thu-bon-river__active-missing-thumbnail__p01__pexels-11427368.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-active-missing-thumbnail\originals\loc-11__thu-bon-river__active-missing-thumbnail__p01__pexels-11427368.jpg,11,thu-bon-river,108.33000000,Thu Bon River,11427368,1,Sirikul R,https://www.pexels.com/@sirikul-r-2043201,pexels,https://www.pexels.com/photo/people-on-a-bicycle-near-river-11427368/,danangtrip/locations/thu-bon-river/loc-11__thu-bon-river__p01,Thu Bon River Da Nang,found,https://res.cloudinary.com/dmukxquza/image/upload/v1780563219/danangtrip/locations/thu-bon-river/loc-11__thu-bon-river__p01.jpg,thu-bon-river,already_downloaded,,https://images.pexels.com/photos/11427368/pexels-photo-11427368.jpeg?auto=compress&cs=tinysrgb&h=350,,uploaded,1780563219,1880
