review_id,review_status,approve_for_seed,reject_reason,fix_notes,name,slug,tour_category_slug,destination_names,price_adult,price_raw,duration,meeting_point,thumbnail,image_count,itinerary_count,inclusions_count,exclusions_count,review_flags,source_name,source_url
TOUR-001,pending_review,False,,,"Daily Golden Bridge, Ba Na Hills from Da Nang Tours by Local",dacotours-daily-golden-bridge-ba-na-hills-from-da-nang-tours-by-local,tour-ba-na-hills,Da Nang; Ba Na Hills,1650000.0,$ 66,8 Hours,,https://dacotours.com/wp-content/uploads/2025/08/Discovery.png,8,0,0,0,missing_itinerary; missing_inclusions,dacotours,https://dacotours.com/ba-na-hills-from-da-nang/
TOUR-002,pending_review,False,,,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,tour-ba-na-hills,Da Nang; Hoi An; Ba Na Hills; Marble Mountains; Son Tra,1190000.0,1.190.000 VND,2 hours,Departure We will pick you up at the rendezvous from 7,https://dananglocaltours.com/wp-content/uploads/2019/12/basket-boat-hoi-tour-100x100.jpg,8,8,8,8,,dananglocaltours,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/
TOUR-003,pending_review,False,,,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,tour-hoi-an,Da Nang; Hoi An; Marble Mountains; Son Tra,0,,2 hours,"Departure We will pick you up at the rendezvous, then we depart for Bach Ma National Park",https://dananglocaltours.com/wp-content/uploads/2020/02/son-tra-peninsula-100x100.jpg,8,8,8,8,missing_price,dananglocaltours,https://dananglocaltours.com/tour/bach-ma-national-park-tour/
TOUR-004,pending_review,False,,,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,tour-hoi-an,Da Nang; Hoi An; Marble Mountains; Son Tra,1075000.0,43USD,2 hours,"departure for Cam Thanh, Hoian",https://dananglocaltours.com/wp-content/uploads/2019/12/marble-mountain-hoi-an-tour-100x100.jpg,8,8,8,8,,dananglocaltours,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/
TOUR-005,pending_review,False,,,Cham Island Snorkeling Tour From Da Nang Good Price #1,dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,tour-hoi-an,Da Nang; Hoi An; Marble Mountains; Son Tra; Cu Lao Cham,1125000.0,45 USD,2 hours,departing for Cua Dai port in Hoian,https://dananglocaltours.com/wp-content/uploads/2019/12/hue-tour-from-da-nang-100x100.jpg,8,8,8,8,,dananglocaltours,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/
TOUR-006,pending_review,False,,,Hoa Phu Thanh waterfall sliding daily tour - Da Nang Local Tours,dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,tour-ba-na-hills,Da Nang; Hoi An; Marble Mountains; Son Tra; Ba Na Hills,0,,,"Depart for Hoa Phu Thanh tourist site (Hoa Phu Village, Hoa Vang Ward, Da Nang City)",https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour-100x100.jpg,8,8,8,8,missing_price; missing_duration,dananglocaltours,https://dananglocaltours.com/tour/hoa-phu-thanh-waterfall-sliding-daily-tour/
TOUR-007,pending_review,False,,,Hue Tour From Da Nang Good Price #1 - Da Nang Local Tours,dananglocaltours-basket-boat-hue-tour-from-da-nang-good-price-1-da-nang-local-tours,tour-hoi-an,Da Nang; Hoi An; Hue; Marble Mountains; Son Tra,1475000.0,59 USD,1 Day,departing daily from Da Nang by Da Nang Local Tours,https://dananglocaltours.com/wp-content/uploads/2019/12/my-son-sanctuary-tour-100x100.jpg,8,8,8,8,,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/hue-tour-from-da-nang/
TOUR-008,pending_review,False,,,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,tour-hoi-an,Da Nang; Hoi An; Marble Mountains; Son Tra,975000.0,39 USD,2 hours,,https://dananglocaltours.com/wp-content/uploads/2019/12/nui-than-tai-spring-park-tour-100x100.jpg,8,8,8,8,,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/
TOUR-009,pending_review,False,,,My Son Sanctuary Tour From Da Nang - Da Nang Local Tours,dananglocaltours-basket-boat-my-son-sanctuary-tour-from-da-nang-da-nang-local-tours,tour-hoi-an,Da Nang; Hoi An; My Son; Marble Mountains; Son Tra; Hue,1025000.0,41 USD,2 hours,"departure We will pick you up at rendezvous, and then we go to visit My Son Sanctuary – o",https://dananglocaltours.com/wp-content/uploads/2019/12/ba-na-hills-tour-from-da-nang-100x100.jpg,8,8,8,8,,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/my-son-sanctuary-tour/
TOUR-010,pending_review,False,,,Nui Than Tai Hot Spring Park Tour From Da Nang Good Price #1,dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,tour-hoi-an,Da Nang; Hoi An; Marble Mountains; Son Tra,1225000.0,49USD,1 day,Departure Pick up your hotel in Da Nang city center for Nui Than Tai Hot Spring Park Tour,https://dananglocaltours.com/wp-content/uploads/2019/12/hoa-phu-thanh-100x100.jpg,8,0,8,8,missing_itinerary,dananglocaltours_basket_boat,https://dananglocaltours.com/tour/nui-than-tai-hot-spring-park-tour/
