approve_for_seed,title,slug,category_hint,tags_hint,excerpt,source_name,source_url,review_flags,status
False,Da Nang,da-nang,cam-nang-da-nang,"da-nang, am-thuc, bien","Planning a trip to Da Nang, Vietnam? Discover top attractions, local dishes, must-do activities, and more in this Danang travel guide from Vietnam's tourism board.",vietnam-travel-da-nang,https://vietnam.travel/places-to-go/central-vietnam/da-nang,,pending_review
False,Hoi An,hoi-an,cam-nang-hoi-an,"da-nang, hoi-an, am-thuc, bien","Planning a trip to Hoi An, Vietnam? Discover top attractions, local dishes, must-do activities, and more in this Hoi An travel guide from Vietnam's tourism board.",vietnam-travel-hoi-an,https://vietnam.travel/places-to-go/central-vietnam/hoi-an,,pending_review
False,Hue,hue,cam-nang-hue,hue,"Planning a trip to Hue, Vietnam? Discover top attractions, local dishes, must-do activities, and more in this Hue travel guide from Vietnam's tourism board.",vietnam-travel-hue,https://vietnam.travel/places-to-go/central-vietnam/hue,,pending_review
False,3 perfect days in Danang,3-perfect-days-in-danang,lich-trinh,"da-nang, am-thuc, bien, van-hoa","Do you only have 72 hours in Danang? Check out travel writer Duncan Forgan's hour-by-hour breakdown of Central Vietnam's favorite beach city, Danang, all in the span of weekend.",vietnam-travel-da-nang-itinerary,https://vietnam.travel/things-to-do/da-nang-itinerary,,pending_review
False,Must-visit places in Da Nang,must-visit-places-in-da-nang,cam-nang-da-nang,"da-nang, hoi-an, bien","There’s plenty to do in this gorgeous coastal city. Here are some of its top attractions… Thanks to its central location, vast stretches of beach, and variety of things to do, the coastal city of Da Nang has become something of a tourism hotspot.",vietnam-travel-da-nang-must-visit,https://vietnam.travel/things-to-do/must-visit-places-in-da-nang,,pending_review
False,How to explore and enjoy Ba Na Hills,how-to-explore-and-enjoy-ba-na-hills,diem-den,da-nang,"You may have seen the viral photos of immense stone hands holding a bridge over the mountains, or heard about a renovated colonial hill station outside Da Nang. This place, which captures the imagination of visitors, is Ba Na Hills. At this unique European theme park in Chúa Mountain, you’ll discover a different world unlike anywhere else in Vietnam.",vietnam-travel-ba-na-hills,https://vietnam.travel/things-to-do/explore-ba-na-hills,,pending_review
False,A walk around Marble Mountains,a-walk-around-marble-mountains,diem-den,"da-nang, lich-trinh, bien","You’ll have to climb more than a few steps to get up to Marble Mountains. These steps are cut from solid stone and each one takes you up the steep karsts and higher over the horizon. Before you know it, you’ve reached the top. Welcome to Marble Mountains. This riveting attraction outside Da Nang City is part historical treasure, part natural wonder, part spiritual setting, and totally beautiful.",vietnam-travel-marble-mountains,https://vietnam.travel/things-to-do/around-marble-mountains,,pending_review
False,The mystic My Son,the-mystic-my-son,diem-den,da-nang,"The construction of My Son began in the 4th century under King Bhadravarman (who reigned from 349 to 361) and was completed in the late 13th to early 14th century under King Jaya Simhavarman III. Visiting My Son, travellers can witness the glorious historical imprints of the ancient Chăm dynasties, visible in every bricklayer and every carved statue depicting communal and religious life.",vietnam-travel-my-son,https://vietnam.travel/things-to-do/mystic-my-son,,pending_review
False,Da Nang's special pork rolls,da-nang-s-special-pork-rolls,am-thuc,"da-nang, am-thuc","Nobody knows exactly who invented banh cuon, or when, but most everyone agrees that Vietnamese people have been eating banh cuon for more than 2000 years. Around 300 BC, ancestors of today’s Vietnamese migrated to Thanh Tri Ward, today known as Hanoi Capital. There, they began cultivating rice, steaming rice paper, and rolling them up into seasonal delicacies.",vietnam-travel-da-nang-food,https://vietnam.travel/things-to-do/da-nangs-special-pork-rolls,,pending_review
False,Hai Van Pass,hai-van-pass,diem-den,"da-nang, hue","Hai Van Pass is one of the most beautiful and renowned coastal mountain passes in Vietnam, located on the Bach Ma range (a part of the Truong Son range) in Central Vietnam. The pass lies between Da Nang City and Thua Thien Hue Province, about 20 km north of downtown Da Nang and about 80 […]",danangfantasticity-hai-van-pass,https://danangfantasticity.com/hai-van-pass,,pending_review
