approve_for_seed,landing_slug,question,answer,source_urls,status
True,du-lich-da-nang,Nen di Da Nang may ngay?,"Lich trinh 3 ngay phu hop de ket hop bien My Khe, cau Rong, Ngu Hanh Son, Son Tra va mot diem xa hon nhu Ba Na Hills hoac Hoi An.",https://vietnam.travel/places-to-go/central-vietnam/da-nang | https://vietnam.travel/things-to-do/da-nang-itinerary | https://vietnam.travel/things-to-do/must-visit-places-in-da-nang | https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list | https://vietnam.travel/node/887,pending_review
True,du-lich-da-nang,Di tu san bay Da Nang vao trung tam co mat nhieu thoi gian khong?,"San bay Da Nang gan trung tam, thuan tien di taxi, xe cong nghe hoac xe dua don. Nen du phong thoi gian neu di vao gio cao diem.",https://vietnam.travel/places-to-go/central-vietnam/da-nang | https://vietnam.travel/things-to-do/da-nang-itinerary | https://vietnam.travel/things-to-do/must-visit-places-in-da-nang | https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list | https://vietnam.travel/node/887,pending_review
True,du-lich-da-nang,Da Nang phu hop voi nhom khach nao?,"Da Nang phu hop voi gia dinh, cap doi, khach di lan dau, nguoi thich bien, am thuc, lich trinh ngan ngay va ket hop Hoi An/Hue.",https://vietnam.travel/places-to-go/central-vietnam/da-nang | https://vietnam.travel/things-to-do/da-nang-itinerary | https://vietnam.travel/things-to-do/must-visit-places-in-da-nang | https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list | https://vietnam.travel/node/887,pending_review
True,du-lich-da-nang,Nen uu tien diem nao neu chi co mot ngay?,"Nen chon My Khe, cau Rong, Ngu Hanh Son hoac Son Tra. Neu muon di xa hon, Ba Na Hills thuong can gan tron ngay.",https://vietnam.travel/places-to-go/central-vietnam/da-nang | https://vietnam.travel/things-to-do/da-nang-itinerary | https://vietnam.travel/things-to-do/must-visit-places-in-da-nang | https://vietnam.travel/things-to-do/must-do-da-nang-an-insider-list | https://vietnam.travel/node/887,pending_review
True,cam-nang-du-lich-mien-trung,"Co nen ket hop Da Nang, Hoi An va Hue trong mot chuyen di?","Co. Da Nang nam giua, co san bay va ket noi tot den Hoi An, Hue, Ba Na Hills, Ngu Hanh Son va My Son.",https://vietnam.travel/plan-your-trip | https://vietnam.travel/plan-your-trip/transport-within-vietnam | https://vietnam.travel/node/705 | https://vietnam.travel/places-to-go/central-vietnam/hoi-an | https://vietnam.travel/places-to-go/central-vietnam/hue,pending_review
True,cam-nang-du-lich-mien-trung,Nen di Hoi An hay Hue tu Da Nang bang cach nao?,"Hoi An phu hop di xe rieng, shuttle hoac xe cong nghe. Hue co the di xe rieng, tau hoa hoac hanh trinh qua deo Hai Van.",https://vietnam.travel/plan-your-trip | https://vietnam.travel/plan-your-trip/transport-within-vietnam | https://vietnam.travel/node/705 | https://vietnam.travel/places-to-go/central-vietnam/hoi-an | https://vietnam.travel/places-to-go/central-vietnam/hue,pending_review
True,cam-nang-du-lich-mien-trung,Di mien Trung can luu y gi ve thoi tiet?,"Nen kiem tra mua mua va lich trinh ngoai troi. Cac diem bien, deo va nui nen di khi thoi tiet on dinh de an toan hon.",https://vietnam.travel/plan-your-trip | https://vietnam.travel/plan-your-trip/transport-within-vietnam | https://vietnam.travel/node/705 | https://vietnam.travel/places-to-go/central-vietnam/hoi-an | https://vietnam.travel/places-to-go/central-vietnam/hue,pending_review
True,cam-nang-du-lich-mien-trung,Co nen thue xe may tu Hoi An di Hue qua Hai Van khong?,"Chi nen di neu co kinh nghiem lai xe duong deo va kiem tra thoi tiet. Khach di lan dau nen chon xe rieng, tour hoac tau hoa.",https://vietnam.travel/plan-your-trip | https://vietnam.travel/plan-your-trip/transport-within-vietnam | https://vietnam.travel/node/705 | https://vietnam.travel/places-to-go/central-vietnam/hoi-an | https://vietnam.travel/places-to-go/central-vietnam/hue,pending_review
True,tour-ba-na-hills,Tour Ba Na Hills nen di nua ngay hay tron ngay?,"Nen di tron ngay vi khu Ba Na Hills co cap treo, Cau Vang, lang Phap, khu vui choi va nhieu diem check-in.",https://vietnam.travel/things-to-do/explore-ba-na-hills | https://danangfantasticity.com/hai-van-pass | https://vietnam.travel/things-to-do/da-nang-itinerary,pending_review
True,tour-ba-na-hills,Can chuan bi gi khi di Ba Na Hills?,"Nen mang giay di bo, ao khoac mong, nuoc uong, kem chong nang va den som de co thoi gian di cap treo, Cau Vang va Fantasy Park.",https://vietnam.travel/things-to-do/explore-ba-na-hills | https://danangfantasticity.com/hai-van-pass | https://vietnam.travel/things-to-do/da-nang-itinerary,pending_review
