blog_id,blog_slug,cloudinary_public_id,download_message,excerpt,featured_image,id,image_url,local_file,local_path,location_id,location_slug,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,search_query,slug,status,thumbnail_url,title
1,central-vietnam-7-day-itinerary,danangtrip/blogs/central-vietnam-7-day-itinerary/blog-1__central-vietnam-7-day-itinerary__p01,downloaded:389442,"A complete guide to spending a week in Vietnam’s central coast, covering all the highlights.",,1,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-1__central-vietnam-7-day-itinerary__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-1__central-vietnam-7-day-itinerary__p01__pexels-30933135.jpg,1,central-vietnam-7-day-itinerary,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,central-vietnam-7-day-itinerary,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,"The Ultimate Central Vietnam Itinerary: Da Nang, Hoi An & Hue in 7 Days"
2,why-visit-central-vietnam,danangtrip/blogs/why-visit-central-vietnam/blog-2__why-visit-central-vietnam__p01,downloaded:245719,"Discover the magic of Central Vietnam, from its world-class beaches to its rich heritage.",,2,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-2__why-visit-central-vietnam__p01__pexels-26550067.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-2__why-visit-central-vietnam__p01__pexels-26550067.jpg,2,why-visit-central-vietnam,26550067,1,Pragyan Bezbaruah,https://www.pexels.com/@pragyanbezbo,pexels,https://www.pexels.com/photo/da-nang-city-name-at-beach-26550067/,Da Nang beach Vietnam,why-visit-central-vietnam,downloaded,https://images.pexels.com/photos/26550067/pexels-photo-26550067.jpeg?auto=compress&cs=tinysrgb&h=350,Why Central Vietnam Should Be Your Next Travel Destination
3,unforgettable-things-to-do-central-vietnam,danangtrip/blogs/unforgettable-things-to-do-central-vietnam/blog-3__unforgettable-things-to-do-central-vietnam__p01,downloaded:357075,"An updated list of the best experiences in the region, from hidden gems to iconic landmarks.",,3,https://images.pexels.com/photos/19940389/pexels-photo-19940389.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-3__unforgettable-things-to-do-central-vietnam__p01__pexels-19940389.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-3__unforgettable-things-to-do-central-vietnam__p01__pexels-19940389.jpg,3,unforgettable-things-to-do-central-vietnam,19940389,1,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,pexels,https://www.pexels.com/photo/da-nang-administrative-center-in-vietnam-19940389/,23 Unforgettable Things To Do in Central Vietnam (2026 Edition) Da Nang Vietnam,unforgettable-things-to-do-central-vietnam,downloaded,https://images.pexels.com/photos/19940389/pexels-photo-19940389.jpeg?auto=compress&cs=tinysrgb&h=350,23 Unforgettable Things To Do in Central Vietnam (2026 Edition)
4,where-to-stay-central-vietnam,danangtrip/blogs/where-to-stay-central-vietnam/blog-4__where-to-stay-central-vietnam__p01,downloaded:389442,A comparison of the three major cities to help you decide the best location for your stay.,,4,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-4__where-to-stay-central-vietnam__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-4__where-to-stay-central-vietnam__p01__pexels-30933135.jpg,4,where-to-stay-central-vietnam,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,where-to-stay-central-vietnam,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,"Da Nang, Hoi An, or Hue? Which City Should You Base Yourself In?"
5,5-day-central-vietnam-itinerary,danangtrip/blogs/5-day-central-vietnam-itinerary/blog-5__5-day-central-vietnam-itinerary__p01,downloaded:389442,"Short on time? Here is how to see the best of Da Nang, Hoi An, and Hue in just five days.",,5,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-5__5-day-central-vietnam-itinerary__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-5__5-day-central-vietnam-itinerary__p01__pexels-30933135.jpg,5,5-day-central-vietnam-itinerary,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,5-day-central-vietnam-itinerary,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,The Perfect 5-Day Central Vietnam Escape
6,vietnam-coastal-road-trip-guide,danangtrip/blogs/vietnam-coastal-road-trip-guide/blog-6__vietnam-coastal-road-trip-guide__p01,downloaded:498778,Everything you need to know about driving along Vietnam’s stunning central coastline.,,6,https://images.pexels.com/photos/13801180/pexels-photo-13801180.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-6__vietnam-coastal-road-trip-guide__p01__pexels-13801180.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-6__vietnam-coastal-road-trip-guide__p01__pexels-13801180.jpg,6,vietnam-coastal-road-trip-guide,13801180,1,Nguyễn Hoàng,https://www.pexels.com/@nguy-n-hoang-957279,pexels,https://www.pexels.com/photo/green-trees-on-mountain-13801180/,How to Plan the Ultimate Vietnam Coastal Road Trip Da Nang Vietnam,vietnam-coastal-road-trip-guide,downloaded,https://images.pexels.com/photos/13801180/pexels-photo-13801180.jpeg?auto=compress&cs=tinysrgb&h=350,How to Plan the Ultimate Vietnam Coastal Road Trip
7,transportation-guide-central-vietnam,danangtrip/blogs/transportation-guide-central-vietnam/blog-7__transportation-guide-central-vietnam__p01,downloaded:389442,"The best ways to get around, from private cars and trains to motorbikes and buses.",,7,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-7__transportation-guide-central-vietnam__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-7__transportation-guide-central-vietnam__p01__pexels-30933135.jpg,7,transportation-guide-central-vietnam,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,transportation-guide-central-vietnam,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,"Traveling Between Da Nang, Hoi An, and Hue: A Practical Guide"
8,why-visit-hue,danangtrip/blogs/why-visit-hue/blog-8__why-visit-hue__p01,downloaded:389442,"Many travelers focus on Da Nang and Hoi An, but Hue offers a unique historical perspective.",,8,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-8__why-visit-hue__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-8__why-visit-hue__p01__pexels-30933135.jpg,8,why-visit-hue,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,why-visit-hue,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,Why You Shouldn’t Skip Hue on Your Trip to Central Vietnam
9,first-timers-guide-central-vietnam,danangtrip/blogs/first-timers-guide-central-vietnam/blog-9__first-timers-guide-central-vietnam__p01,downloaded:389442,"Essential tips for your first visit to Da Nang, Hoi An, and Hue.",,9,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-9__first-timers-guide-central-vietnam__p01__pexels-30933135.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-9__first-timers-guide-central-vietnam__p01__pexels-30933135.jpg,9,first-timers-guide-central-vietnam,30933135,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,pexels,https://www.pexels.com/photo/traditional-scene-in-h-i-an-vietnam-s-ancient-town-30933135/,Hoi An Vietnam travel,first-timers-guide-central-vietnam,downloaded,https://images.pexels.com/photos/30933135/pexels-photo-30933135.jpeg?auto=compress&cs=tinysrgb&h=350,First-Timer’s Guide to Central Vietnam: What to Expect
10,hidden-gems-central-vietnam,danangtrip/blogs/hidden-gems-central-vietnam/blog-10__hidden-gems-central-vietnam__p01,downloaded:448711,Escape the crowds and discover the lesser-known spots in the region.,,10,https://images.pexels.com/photos/14021725/pexels-photo-14021725.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,blog-10__hidden-gems-central-vietnam__p01__pexels-14021725.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\blogs\2026-06-05-blog-missing-featured-image\originals\blog-10__hidden-gems-central-vietnam__p01__pexels-14021725.jpg,10,hidden-gems-central-vietnam,14021725,1,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,pexels,https://www.pexels.com/photo/people-standing-near-the-apec-park-14021725/,Hidden Gems of Central Vietnam: Beyond the Tourist Trail Da Nang Vietnam,hidden-gems-central-vietnam,downloaded,https://images.pexels.com/photos/14021725/pexels-photo-14021725.jpeg?auto=compress&cs=tinysrgb&h=350,Hidden Gems of Central Vietnam: Beyond the Tourist Trail
