id,name,slug,status,address,district,latitude,longitude,avg_rating,review_count,price_level,is_featured,category_name,category_slug,quality_score,review_bucket,review_reasons
113,139nguyen ducedm,139nguyen-ducedm,inactive,"139, Nguyen duc chung, Da Nang",Da Nang,16.06281500,108.21016330,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
114,4 Seasons Danang Hostel,4-seasons-danang-hostel,inactive,"69, Chau Thi Vinh Te, Ngu Hanh Son District, Danang",Ngu Hanh Son District,16.05093900,108.24040080,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
115,a Nang Com Chay 2,a-nang-com-chay-2,inactive,"329, Duong Dinh Nghe, Da Nang",Da Nang,16.07075820,108.23295410,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
116,A tri,a-tri,inactive,"145, Nguyen Dang Giai, Da Nang",Da Nang,16.10338160,108.25782110,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
117,Adela,adela,inactive,"10, Duong An Thuong 36, Da Nang",Da Nang,16.05291700,108.24405740,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
118,Altara Suites,altara-suites,inactive,"120, Da Nang",Da Nang,16.07774380,108.24513650,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
119,Alyssa hotel,alyssa-hotel,inactive,"109D, Duong Duong Dinh Nghe, Da Nang",Da Nang,16.06866590,108.23882730,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
120,Aria Da Nang,aria-da-nang,inactive,"02, Duong Truong Sa, Ngu Hanh Son, Da Nang",Ngu Hanh Son,15.98965940,108.27233350,0.00,0,4,False,Khách sạn & Homestay,khach-san-homestay,10,excellent,
121,Art in Paradise Da Nang 3D Museum,art-in-paradise-da-nang-3d-museum,inactive,"Tran Nhan Tong, Da Nang",Da Nang,16.09538070,108.24307690,0.00,0,1,False,Bảo tàng & Di tích,bao-tang-di-tich,10,excellent,
122,Babylon Steakgarden,babylon-steakgarden,inactive,Da Nang,Da Nang,16.04177370,108.24835850,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,6,good,
123,Bai bien My Khe,bai-bien-my-khe,inactive,Da Nang,Da Nang,16.07560980,108.25473520,0.00,0,1,False,Điểm check-in nổi tiếng,check-in-noi-tieng,6,good,
124,Bai Bien Son Tra,bai-bien-son-tra,inactive,Da Nang,Da Nang,16.09902100,108.25498540,0.00,0,1,False,Điểm check-in nổi tiếng,check-in-noi-tieng,6,good,
125,Bai bien Tien Sa,bai-bien-tien-sa,inactive,Da Nang,Da Nang,16.12436110,108.22027330,0.00,0,1,False,Điểm check-in nổi tiếng,check-in-noi-tieng,6,good,
126,Bai tam Non Nuoc,bai-tam-non-nuoc,inactive,Da Nang,Da Nang,16.00548510,108.26901890,0.00,0,1,False,Điểm check-in nổi tiếng,check-in-noi-tieng,6,good,
127,Ban Co Peak,ban-co-peak,inactive,Da Nang,Da Nang,16.11892860,108.27200360,0.00,0,1,False,Điểm check-in nổi tiếng,check-in-noi-tieng,6,good,
128,Banh beo 291 Nguyen Chi Thanh,banh-beo-291-nguyen-chi-thanh,inactive,"291, Nguyen Chi Thanh, Da Nang",Da Nang,16.06693800,108.22090900,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
129,Banh mi,banh-mi,inactive,"Le Minh Trung, Da Nang",Da Nang,16.07171110,108.23980050,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
130,Banh mi cham Pate,banh-mi-cham-pate,inactive,"26, Chu Van An, Da Nang",Da Nang,16.05689930,108.21808850,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
131,Banh Xeo Ba Duong,banh-xeo-ba-duong,inactive,"23, Kiet 280 Hoang Dieu, Da Nang",Da Nang,16.05880340,108.21603490,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
132,Bao An Macrobiotic,bao-an-macrobiotic,inactive,"56, Duong Hoang Bich Son, Da Nang",Da Nang,16.07538280,108.24096020,0.00,0,3,False,Ẩm thực địa phương,am-thuc-dia-phuong,8,excellent,
133,Bao tang Da Nang,bao-tang-da-nang,inactive,"24, Duong Tran Phu, Da Nang",Da Nang,16.07632690,108.22156800,0.00,0,1,False,Bảo tàng & Di tích,bao-tang-di-tich,10,excellent,
134,Bao tang Ho Chi Minh,bao-tang-ho-chi-minh,inactive,Da Nang,Da Nang,16.04648240,108.21824710,0.00,0,1,False,Bảo tàng & Di tích,bao-tang-di-tich,8,excellent,
135,Bao tang Phat giao,bao-tang-phat-giao,inactive,"Duong Suvan Hanh, Da Nang",Da Nang,15.99943080,108.25458310,0.00,0,1,False,Bảo tàng & Di tích,bao-tang-di-tich,10,excellent,
