publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
needs_recrawl,inferred_core_field; suspicious_duration,,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,recrawl-003-dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,recrawl_003_dananglocaltours,https://dananglocaltours.com/tour/bach-ma-national-park-tour/,750000.0,estimated_from_context:750000 VND,2 hours,6,6,2,2,https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour.jpg
needs_recrawl,suspicious_duration; insufficient_images,,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,recrawl-004-dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,recrawl_004_dananglocaltours,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/,1075000.0,43USD,2 hours,8,10,7,1,https://dananglocaltours.com/wp-content/uploads/2019/12/basket-boat-hoi-tour.jpg
needs_recrawl,suspicious_duration; insufficient_images,,Cham Island Snorkeling Tour From Da Nang Good Price #1,recrawl-005-dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,recrawl_005_dananglocaltours,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/,1125000.0,45 USD,2 hours,7,10,5,1,https://dananglocaltours.com/wp-content/uploads/2019/12/cham-island-snorkeling-tour.jpg
needs_recrawl,inferred_core_field,,Hoa Phu Thanh waterfall sliding daily tour - Da Nang Local Tours,recrawl-006-dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,recrawl_006_dananglocaltours,https://dananglocaltours.com/tour/hoa-phu-thanh-waterfall-sliding-daily-tour/,750000.0,estimated_from_context:750000 VND,1 day,10,8,5,2,https://dananglocaltours.com/wp-content/uploads/2019/12/hoa-phu-thanh.jpg
needs_recrawl,suspicious_duration,missing_meeting_point,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,recrawl-007-dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,recrawl_007_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/,975000.0,39 USD,2 hours,10,6,8,2,https://dananglocaltours.com/wp-content/uploads/2019/12/marble-mountain-hoi-an-tour.jpg
needs_recrawl,suspicious_duration; insufficient_images,,My Son Sanctuary Tour From Da Nang - Da Nang Local Tours,recrawl-008-dananglocaltours-basket-boat-my-son-sanctuary-tour-from-da-nang-da-nang-local-tours,recrawl_008_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/my-son-sanctuary-tour/,1025000.0,41 USD,2 hours,5,7,4,1,https://dananglocaltours.com/wp-content/uploads/2019/12/my-son-sanctuary-tour.jpg
needs_recrawl,incomplete_itinerary,,Nui Than Tai Hot Spring Park Tour From Da Nang Good Price #1,recrawl-009-dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,recrawl_009_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/nui-than-tai-hot-spring-park-tour/,1225000.0,49USD,1 day,0,10,6,2,https://dananglocaltours.com/wp-content/uploads/2019/12/nui-than-tai-spring-park-tour.jpg
needs_recrawl,inferred_core_field; suspicious_duration,,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,recrawl-010-dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,recrawl_010_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/,1025000.0,estimated_from_context:1025000 VND,2 hours,10,6,2,2,https://dananglocaltours.com/wp-content/uploads/2020/02/son-tra-peninsula.jpg
needs_recrawl,insufficient_images; irrelevant_images,,Hoi An City Tour – Boat Ride – Release Flower Lantern,recrawl-014-venus-cham-island-hoi-an-city-tour-boat-ride-release-flower-lantern-venustravel,recrawl_014_venus_cham_island,https://venusvietnamtravel.com/hoi-an-boat-ride/,641250.0,From $25.65,3.5 hours,7,6,3,1,https://venus-cdn.b-cdn.net/wp-content/uploads/2023/11/Anh-OTA-3-1024x576.png
needs_recrawl,incomplete_inclusions; incomplete_exclusions; insufficient_images; irrelevant_images,,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,recrawl-015-venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,recrawl_015_venus_cham_island,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/,603000.0,From $24.12,3.5 hours,10,1,1,1,https://venus-cdn.b-cdn.net/wp-content/uploads/2022/07/ba.jpg
