available_from,available_to,booking_availability,booking_count,category_name,category_slug,cloudinary_public_id,created_at,created_by,description,discount_percent,download_message,duration,exclusions,id,image_url,images,inclusions,is_featured,is_hot,itinerary,local_file,local_path,location_id,location_slug,max_people,meeting_point,min_people,name,photo_id,photo_index,photographer,photographer_url,price_adult,price_child,price_infant,provider,provider_page_url,rating_avg,rating_count,search_query,short_desc,slug,start_time,status,thumbnail,thumbnail_url,tour_category_id,tour_id,tour_slug,updated_at,video_url,view_count
,,open,0,Tour Bà Nà Hills,tour-ba-na-hills,danangtrip/tours/tour-ba-na-hills-1-ngay/tour-1__tour-ba-na-hills-1-ngay__p01,2026-05-25 08:44:17,,"Khám phá chốn bồng lai tiên cảnh với Cầu Vàng, Làng Pháp và hệ thống cáp treo đạt nhiều kỷ lục thế giới.",5,downloaded:390115,1 ngày,"[""Nước uống trong bữa ăn"", ""Chi phí cá nhân"", ""Tip cho HDV""]",1,https://images.pexels.com/photos/18671478/pexels-photo-18671478.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe đưa đón đời mới"", ""Hướng dẫn viên"", ""Vé cáp treo"", ""Buffet trưa 100 món""]",True,True,"[{""time"": ""08:00"", ""task"": ""Đón khách tại trung tâm Đà Nẵng""}, {""time"": ""09:30"", ""task"": ""Check-in Cầu Vàng""}, {""time"": ""12:00"", ""task"": ""Ăn trưa Buffet""}, {""time"": ""15:30"", ""task"": ""Rời Bà Nà""}]",tour-1__tour-ba-na-hills-1-ngay__p01__pexels-18671478.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-1__tour-ba-na-hills-1-ngay__p01__pexels-18671478.jpg,1,tour-ba-na-hills-1-ngay,45,Văn phòng Đà Nẵng / Khách sạn trung tâm,2,Tour Bà Nà Hills 1 Ngày (Buffet Trưa),18671478,1,Prakash Achari,https://www.pexels.com/@prakaachu,1250000.00,950000.00,250000.00,pexels,https://www.pexels.com/photo/golden-bridge-ba-na-hills-vietnam-18671478/,0.00,0,Tour Bà Nà Hills 1 Ngày (Buffet Trưa) Vietnam travel,Hành trình đưa quý khách đến với đỉnh Núi Chúa - Đà Nẵng.,tour-ba-na-hills-1-ngay,08:00,downloaded,,https://images.pexels.com/photos/18671478/pexels-photo-18671478.jpeg?auto=compress&cs=tinysrgb&h=350,1,1,tour-ba-na-hills-1-ngay,2026-05-25 08:44:17,,0
,,open,0,Tour Phố Cổ Hội An,tour-hoi-an,danangtrip/tours/tour-hoi-an-rung-dua/tour-2__tour-hoi-an-rung-dua__p01,2026-05-25 08:44:17,,Trải nghiệm chèo thúng tại rừng dừa Bảy Mẫu và khám phá vẻ đẹp hoài cổ của phố cổ Hội An về đêm.,0,downloaded:485810,7 giờ,"[""Đồ uống"", ""Ổ khóa tình yêu""]",2,https://images.pexels.com/photos/32874870/pexels-photo-32874870.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe đưa đón"", ""Vé tham quan"", ""Chèo thúng"", ""Ăn tối đặc sản Hội An""]",True,False,"[{""time"": ""14:00"", ""task"": ""Đón khách""}, {""time"": ""15:00"", ""task"": ""Tham quan Rừng dừa""}, {""time"": ""17:30"", ""task"": ""Dạo phố cổ Hội An""}, {""time"": ""21:00"", ""task"": ""Trở về Đà Nẵng""}]",tour-2__tour-hoi-an-rung-dua__p01__pexels-32874870.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-2__tour-hoi-an-rung-dua__p01__pexels-32874870.jpg,2,tour-hoi-an-rung-dua,30,Đà Nẵng / Hội An,2,Tour Phố Cổ Hội An & Rừng Dừa Bảy Mẫu,32874870,1,Vietnam  Hidden Light,https://www.pexels.com/@vietnamhiddenlight,750000.00,550000.00,150000.00,pexels,https://www.pexels.com/photo/aerial-view-of-basket-boats-in-h-i-an-vietnam-32874870/,0.00,0,Tour Phố Cổ Hội An & Rừng Dừa Bảy Mẫu Vietnam travel,Kết hợp trải nghiệm sông nước và văn hóa phố cổ.,tour-hoi-an-rung-dua,14:00,downloaded,,https://images.pexels.com/photos/32874870/pexels-photo-32874870.jpeg?auto=compress&cs=tinysrgb&h=350,2,2,tour-hoi-an-rung-dua,2026-05-25 08:44:17,,0
,,open,0,Tour Khám Phá Thiên Nhiên,tour-thien-nhien,danangtrip/tours/tour-ngu-hanh-son-son-tra/tour-3__tour-ngu-hanh-son-son-tra__p01,2026-05-25 08:44:17,,Hành trình tâm linh khám phá các hang động kỳ bí tại Ngũ Hành Sơn và chiêm bái Phật Bà tại Sơn Trà.,0,downloaded:302400,4 giờ,"[""Ăn trưa"", ""Chi phí cá nhân""]",3,https://images.pexels.com/photos/36748260/pexels-photo-36748260.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe du lịch"", ""HDV nhiệt tình"", ""Nước suối"", ""Vé tham quan""]",False,False,"[{""time"": ""08:00"", ""task"": ""Tham quan Chùa Linh Ứng""}, {""time"": ""10:00"", ""task"": ""Khám phá Ngũ Hành Sơn""}, {""time"": ""12:00"", ""task"": ""Kết thúc tour""}]",tour-3__tour-ngu-hanh-son-son-tra__p01__pexels-36748260.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-3__tour-ngu-hanh-son-son-tra__p01__pexels-36748260.jpg,3,tour-ngu-hanh-son-son-tra,20,Đà Nẵng,2,Tour Ngũ Hành Sơn & Chùa Linh Ứng Sơn Trà,36748260,1,TUAN PHAN,https://www.pexels.com/@tuan-phan-2156993475,450000.00,250000.00,0.00,pexels,https://www.pexels.com/photo/scenic-coastal-view-of-s-n-tra-peninsula-vietnam-36748260/,0.00,0,Tour Ngũ Hành Sơn & Chùa Linh Ứng Sơn Trà Vietnam travel,Tour tâm linh nửa ngày ngắm cảnh biển Đà Nẵng.,tour-ngu-hanh-son-son-tra,08:00,downloaded,,https://images.pexels.com/photos/36748260/pexels-photo-36748260.jpeg?auto=compress&cs=tinysrgb&h=350,5,3,tour-ngu-hanh-son-son-tra,2026-05-25 08:44:17,,0
,,open,0,Tour Cố Đô Huế,tour-hue,danangtrip/tours/tour-cu-lao-cham/tour-4__tour-cu-lao-cham__p01,2026-05-25 08:44:17,,"Chuyến đi biển đảo hấp dẫn với các hoạt động tắm biển, lặn ngắm san hô và thưởng thức hải sản tươi ngon.",10,downloaded:510494,1 ngày,"[""Lặn bình khí"", ""Phí môi trường quốc tế""]",4,https://images.pexels.com/photos/27676364/pexels-photo-27676364.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Cano cao tốc"", ""Kính lặn"", ""Ăn trưa"", ""Bảo hiểm du lịch""]",True,True,"[{""time"": ""08:30"", ""task"": ""Cano cao tốc đi đảo""}, {""time"": ""10:00"", ""task"": ""Lặn ngắm san hô""}, {""time"": ""12:00"", ""task"": ""Ăn trưa hải sản""}, {""time"": ""14:30"", ""task"": ""Về lại đất liền""}]",tour-4__tour-cu-lao-cham__p01__pexels-27676364.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-4__tour-cu-lao-cham__p01__pexels-27676364.jpg,4,tour-cu-lao-cham,35,Cảng Cửa Đại,4,Tour Cù Lao Chàm Lặn Ngắm San Hô,27676364,1,Dang Hong,https://www.pexels.com/@dwanghong,650000.00,450000.00,100000.00,pexels,https://www.pexels.com/photo/a-boat-traveling-through-the-water-near-a-rocky-cliff-27676364/,0.00,0,Tour Cù Lao Chàm Lặn Ngắm San Hô Vietnam travel,Thiên đường biển đảo Cù Lao Chàm.,tour-cu-lao-cham,08:00,downloaded,,https://images.pexels.com/photos/27676364/pexels-photo-27676364.jpeg?auto=compress&cs=tinysrgb&h=350,3,4,tour-cu-lao-cham,2026-05-25 08:44:17,,0
,,open,0,Tour Khám Phá Thiên Nhiên,tour-thien-nhien,danangtrip/tours/tour-hue-1-ngay/tour-5__tour-hue-1-ngay__p01,2026-05-25 08:44:17,,"Vượt đèo Hải Vân đến với cố đô Huế, tham quan Đại Nội, chùa Thiên Mụ và các lăng tẩm uy nghiêm.",0,downloaded:659336,1 ngày,"[""Chi phí cá nhân""]",5,https://images.pexels.com/photos/27418881/pexels-photo-27418881.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe đưa đón"", ""HDV"", ""Vé tham quan các điểm"", ""Ăn trưa""]",True,False,"[{""time"": ""07:30"", ""task"": ""Khởi hành qua hầm Hải Vân""}, {""time"": ""10:30"", ""task"": ""Tham quan Đại Nội""}, {""time"": ""12:00"", ""task"": ""Ăn trưa đặc sản Huế""}, {""time"": ""15:00"", ""task"": ""Tham quan Lăng Khải Định""}]",tour-5__tour-hue-1-ngay__p01__pexels-27418881.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-5__tour-hue-1-ngay__p01__pexels-27418881.jpg,5,tour-hue-1-ngay,40,Đà Nẵng,2,Tour Cố Đô Huế 1 Ngày từ Đà Nẵng,27418881,1,Vietnam Tri Duong Photographer,https://www.pexels.com/@triduhi-youtuber,1050000.00,750000.00,200000.00,pexels,https://www.pexels.com/photo/kinh-thanh-hu-vi-t-nam-27418881/,0.00,0,Tour Cố Đô Huế 1 Ngày từ Đà Nẵng Vietnam travel,Hành trình di sản cố đô miền Trung.,tour-hue-1-ngay,07:30,downloaded,,https://images.pexels.com/photos/27418881/pexels-photo-27418881.jpeg?auto=compress&cs=tinysrgb&h=350,5,5,tour-hue-1-ngay,2026-05-25 08:44:17,,0
,,open,0,Tour Khám Phá Thiên Nhiên,tour-thien-nhien,danangtrip/tours/tour-my-son/tour-6__tour-my-son__p01,2026-05-25 08:44:17,,Tìm hiểu về văn hóa Champa cổ đại qua quần thể đền tháp Mỹ Sơn - Di sản văn hóa thế giới.,0,downloaded:183950,5 giờ,"[""Ăn trưa"", ""Tip""]",6,https://images.pexels.com/photos/28238601/pexels-photo-28238601.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe vận chuyển"", ""HDV"", ""Vé tham quan"", ""Xem biểu diễn văn nghệ""]",False,False,"[{""time"": ""08:00"", ""task"": ""Khởi hành""}, {""time"": ""09:30"", ""task"": ""Tham quan Mỹ Sơn""}, {""time"": ""11:00"", ""task"": ""Xem múa Apsara""}, {""time"": ""13:00"", ""task"": ""Về lại Hội An""}]",tour-6__tour-my-son__p01__pexels-28238601.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-6__tour-my-son__p01__pexels-28238601.jpg,6,tour-my-son,25,Đà Nẵng / Hội An,2,Tour Thánh Địa Mỹ Sơn nửa ngày,28238601,1,Chuot  Anhls,https://www.pexels.com/@chuotanhls,550000.00,400000.00,100000.00,pexels,https://www.pexels.com/photo/a-woman-taking-a-picture-of-the-city-from-a-rooftop-28238601/,0.00,0,Tour Thánh Địa Mỹ Sơn nửa ngày Vietnam travel,Khám phá bí ẩn tháp Chàm.,tour-my-son,08:00,downloaded,,https://images.pexels.com/photos/28238601/pexels-photo-28238601.jpeg?auto=compress&cs=tinysrgb&h=350,5,6,tour-my-son,2026-05-25 08:44:17,,0
,,open,0,Tour Bà Nà Hills,tour-ba-na-hills,danangtrip/tours/tour-city-danang/tour-7__tour-city-danang__p01,2026-05-25 08:44:17,,"Hành trình check-in những biểu tượng hiện đại của Đà Nẵng: Cầu Rồng, Cầu Tình Yêu, Bảo tàng Chăm.",0,downloaded:95853,4 giờ,"[""Ăn trưa""]",7,https://images.pexels.com/photos/33609351/pexels-photo-33609351.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe du lịch"", ""HDV"", ""Vé bảo tàng"", ""Nước uống""]",False,False,"[{""time"": ""08:00"", ""task"": ""Bảo tàng Chăm""}, {""time"": ""10:00"", ""task"": ""Cầu Rồng & Cầu Tình Yêu""}, {""time"": ""11:30"", ""task"": ""Chợ Hàn""}]",tour-7__tour-city-danang__p01__pexels-33609351.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-7__tour-city-danang__p01__pexels-33609351.jpg,7,tour-city-danang,15,Đà Nẵng,2,Tour Đà Nẵng City - Những Cây Cầu,33609351,1,Flint Huynh,https://www.pexels.com/@flinthuynh,350000.00,200000.00,0.00,pexels,https://www.pexels.com/photo/airplane-landing-with-mountain-background-in-da-n-ng-33609351/,0.00,0,Tour Đà Nẵng City - Những Cây Cầu Vietnam travel,Tour khám phá thành phố đáng sống.,tour-city-danang,08:30,downloaded,,https://images.pexels.com/photos/33609351/pexels-photo-33609351.jpeg?auto=compress&cs=tinysrgb&h=350,1,7,tour-city-danang,2026-05-25 08:44:17,,0
,,open,0,Tour Cố Đô Huế,tour-hue,danangtrip/tours/tour-hai-van-lang-co/tour-8__tour-hai-van-lang-co__p01,2026-05-25 08:44:17,,Trải nghiệm cung đường đèo đẹp nhất Việt Nam và thư giãn tại vịnh biển Lăng Cô thơ mộng.,0,downloaded:239443,1 ngày,"[""Dịch vụ biển""]",8,https://images.pexels.com/photos/34250772/pexels-photo-34250772.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe du lịch"", ""HDV"", ""Ăn trưa hải sản""]",False,False,[],tour-8__tour-hai-van-lang-co__p01__pexels-34250772.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-8__tour-hai-van-lang-co__p01__pexels-34250772.jpg,8,tour-hai-van-lang-co,20,Đà Nẵng,2,Tour Đèo Hải Vân & Lăng Cô - Ô tô,34250772,1,Nguyễn Hoàng,https://www.pexels.com/@nguy-n-hoang-957279,850000.00,600000.00,150000.00,pexels,https://www.pexels.com/photo/aerial-view-of-da-nang-bay-at-sunset-34250772/,0.00,0,Tour Đèo Hải Vân & Lăng Cô - Ô tô Vietnam travel,"Ngắm nhìn ""Thiên hạ đệ nhất hùng quan"".",tour-hai-van-lang-co,08:00,downloaded,,https://images.pexels.com/photos/34250772/pexels-photo-34250772.jpeg?auto=compress&cs=tinysrgb&h=350,3,8,tour-hai-van-lang-co,2026-05-25 08:44:17,,0
,,open,0,Tour Ẩm Thực,tour-am-thuc,danangtrip/tours/tour-dem-hoi-an/tour-9__tour-dem-hoi-an__p01,2026-05-25 08:44:17,,"Dạo bước phố đèn lồng, thả đèn hoa đăng và thưởng thức các món ăn đặc sản nổi tiếng của Hội An.",0,downloaded:264185,5 giờ,"[""Mua sắm cá nhân""]",9,https://images.pexels.com/photos/34949975/pexels-photo-34949975.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Xe đưa đón"", ""Ăn tối"", ""Thả hoa đăng""]",False,True,[],tour-9__tour-dem-hoi-an__p01__pexels-34949975.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-9__tour-dem-hoi-an__p01__pexels-34949975.jpg,9,tour-dem-hoi-an,25,Đà Nẵng,2,Tour Đêm Phố Cổ Hội An & Ăn Tối,34949975,1,Võ Văn Tiến,https://www.pexels.com/@vo-van-ti-n-2037497312,600000.00,450000.00,100000.00,pexels,https://www.pexels.com/photo/traditional-vietnamese-attire-in-h-i-an-alleyway-34949975/,0.00,0,Tour Đêm Phố Cổ Hội An & Ăn Tối Vietnam travel,Lãng mạn phố cổ về đêm.,tour-dem-hoi-an,16:00,downloaded,,https://images.pexels.com/photos/34949975/pexels-photo-34949975.jpeg?auto=compress&cs=tinysrgb&h=350,6,9,tour-dem-hoi-an,2026-05-25 08:44:17,,0
,,open,0,Tour Bà Nà Hills,tour-ba-na-hills,danangtrip/tours/tour-ba-na-night/tour-10__tour-ba-na-night__p01,2026-05-25 08:44:17,,"Trải nghiệm Bà Nà Hills lung linh về đêm với Buffet tối, rượu vang và các show diễn đặc sắc.",0,downloaded:390115,1 ngày,"[""Các trò chơi có phí""]",10,https://images.pexels.com/photos/18671478/pexels-photo-18671478.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,"[""Cáp treo khứ hồi"", ""Ăn tối Buffet"", ""Rượu vang/Bia""]",False,True,[],tour-10__tour-ba-na-night__p01__pexels-18671478.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-04-tour-missing-thumbnail\originals\tour-10__tour-ba-na-night__p01__pexels-18671478.jpg,10,tour-ba-na-night,50,Cáp treo Bà Nà,1,Tour Bà Nà Hills Đêm (Sun World Night),18671478,1,Prakash Achari,https://www.pexels.com/@prakaachu,950000.00,750000.00,200000.00,pexels,https://www.pexels.com/photo/golden-bridge-ba-na-hills-vietnam-18671478/,0.00,0,Tour Bà Nà Hills Đêm (Sun World Night) Vietnam travel,Bà Nà huyền ảo buổi đêm.,tour-ba-na-night,15:30,downloaded,,https://images.pexels.com/photos/18671478/pexels-photo-18671478.jpeg?auto=compress&cs=tinysrgb&h=350,1,10,tour-ba-na-night,2026-05-25 08:44:17,,0
